Table 6-7:  Land Use and Land-Use Change for the U.S. Managed Land Base for All 50 States (Thousands of Hectares),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Land-Use & Land-Use Change Categoriesa,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,CS,"1,227","1,399","1,559","1,809","2,054","2,292","2,538","2,774","2,942","3,296","3,296","3,458","3,593","3,577","3,559","3,530","3,497","3,452","3,404","3,312","3,205","3,205","3,205","3,205","3,205"
,GS,"1,268","1,449","1,625","1,867","2,105","2,355","2,607","2,843","3,169","3,655","3,655","3,861","4,063","4,140","4,161","4,164","4,199","4,200","4,163","4,082","3,981","3,981","3,981","3,981","3,981"
,WS,6,6,6,6,10,10,12,14,15,23,23,25,25,25,27,26,24,25,26,25,24,24,24,24,24
,OS,55,66,72,91,105,118,132,143,161,181,181,187,195,193,193,201,206,213,213,211,204,204,204,204,204
,Total Other Land,"24,197","24,265","24,323","24,304","24,285","24,365","24,463","24,540","24,573","24,689","24,627","24,697","24,739","24,819","24,875","25,154","25,214","25,287","25,338","25,382","25,398","25,398","25,399","25,399","25,399"
,OO,"23,162","23,150","23,125","23,060","23,000","22,985","22,972","22,952","22,929","22,950","22,934","22,915","22,934","22,979","22,975","23,312","23,322","23,366","23,399","23,442","23,475","23,475","23,476","23,476","23,476"
,FO,37,38,43,39,40,47,47,53,54,56,53,57,57,55,56,54,55,56,58,59,61,61,61,61,61
,CO,328,358,395,405,414,444,489,527,529,563,533,589,602,620,642,706,729,764,801,799,812,812,812,812,812
,GO,531,578,585,625,660,718,784,838,873,932,920,942,952,975,"1,006",966,991,985,969,995,969,969,969,969,969
,WO,135,137,172,171,168,167,166,166,185,184,184,191,191,188,193,109,110,107,102,75,70,70,70,70,70
,SO,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,7,7,7,9,12,12,12,12,12,12
,Grand Total,"890,019","890,019","890,019","890,019","890,019","890,019","890,019","890,019","890,017","890,016","890,016","890,016","890,016","890,016","890,016","890,016","890,016","890,016","890,016","890,016","890,017","890,017","890,017","890,017","890,017"
,"a The abbreviations are “F” for Forest Land, “C” for Cropland, “G” for Grassland, “W” for Wetlands, “S” for Settlements, and “O” for Other Lands.  Lands remaining in the same land-use category are identified with the land-use abbreviation given twice (e.g., “FF” is Forest Land Remaining Forest Land), and land-use change categories are identified with the previous land use abbreviation followed by the new land-use abbreviation (e.g., “CF” is Cropland Converted to Forest Land).",,,,,,,,,,,,,,,,,,,,,,,,,
,"Note: All land areas reported in this table are considered managed.  A planned improvement is underway to deal with an exception for Wetlands, which based on the definitions for the current U.S. Land Representation Assessment includes both managed and unmanaged lands.  U.S. Territories have not been classified into land uses and are not included in the U.S. Land Representation Assessment.  See the Planned Improvements section for discussion on plans to include territories in future inventories.  In addition, C stock changes are not currently estimated for the entire land base, which leads to discrepancies between the managed land area data presented here and in the subsequent sections of the Inventory.",,,,,,,,,,,,,,,,,,,,,,,,,
