Table 2-12:  U.S. Greenhouse Gas Emissions by Economic Sector and Gas with Electricity-Related Emissions Distributed (MMT CO2 Eq.) and Percent of Total in 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sector/Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Percenta
,CO2,3.1,3.0,3.0,3.1,3.2,3.1,3.1,3.1,3.2,3.2,3.5,3.7,3.5,4.3,4.6,4.8,4.6,5.1,4.7,4.5,4.5,4.3,3.9,4.0,4.1,0.10%
,CH4, +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  ,+
,N2O, +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  ,+
,SF6, +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  ,+
,Commercial,969.1,977.9,974.4,997.1,1010.4,1024.4,1052.8,1084.5,1093.6,1101.1,1158.7,1164.4,1165.4,1184.5,1206.8,1238.0,1219.4,1265.4,1262.9,1204.4,1212.8,1183.9,1122.1,1155.8,1174.7,17.10%
,Direct Emissions,418.1,426.5,424.1,422.0,425.1,424.5,431.1,422.4,396.3,394.6,405.2,395.9,398.3,417.2,419.5,420.3,406.3,422.4,433.3,437.4,425.5,432.1,408.5,437.5,453.9,6.60%
,CO2,217.4,223.3,220.6,220.1,222.4,225.6,234.5,233.6,215.9,218.8,230.9,225.0,225.0,235.2,234.2,223.5,208.6,218.8,223.6,223.5,220.1,220.7,196.7,221.0,231.9,3.40%
,CH4,196.6,199.1,199.1,197.1,197.2,192.5,189.0,179.8,170.0,163.6,160.5,155.5,156.2,162.8,164.2,172.8,170.4,172.1,173.5,173.0,160.5,162.5,160.1,162.2,165.8,2.40%
,N2O,4.1,4.2,4.3,4.5,4.7,4.8,5.0,5.1,5.3,5.5,5.8,5.8,5.9,6.2,6.4,6.4,6.4,6.5,6.5,6.4,6.4,6.7,6.7,6.9,7.0,0.10%
,HFCs, +  , +  , +  ,0.3,0.8,1.6,2.6,3.8,5.1,6.7,8.0,9.6,11.3,13.1,14.7,17.6,20.9,25.0,29.6,34.5,38.5,42.1,44.9,47.4,49.2,0.70%
,Electricity-Related,551.0,551.4,550.3,575.1,585.4,599.9,621.7,662.2,697.3,706.5,753.5,768.5,767.0,767.3,787.3,817.7,813.1,843.0,829.6,767.1,787.3,751.9,713.6,718.3,720.8,10.50%
,CO2,541.1,541.8,540.8,565.7,576.2,591.1,613.3,654.0,689.7,698.8,745.6,760.3,758.6,758.8,778.5,808.5,804.1,834.1,820.8,758.3,778.3,743.3,705.2,709.5,711.8,10.40%
,CH4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,+
,N2O,2.3,2.3,2.3,2.4,2.5,2.5,2.6,2.7,2.9,2.9,3.2,3.5,4.1,4.5,5.0,5.5,5.7,5.9,5.9,6.0,6.4,6.1,6.3,6.7,6.9,0.10%
,SF6,7.5,7.2,7.1,6.9,6.6,6.1,5.6,5.3,4.6,4.7,4.5,4.6,4.2,3.9,3.7,3.5,3.2,2.8,2.8,2.6,2.4,2.3,1.9,1.9,1.9,+
,Residential,952.2,970.2,966.7,1019.1,1009.6,1023.5,1085.4,1074.3,1076.9,1098.5,1161.5,1152.4,1179.5,1209.1,1207.1,1242.1,1180.8,1236.1,1224.4,1159.6,1216.9,1163.1,1057.5,1121.9,1143.8,16.60%
,Direct Emissions,344.9,354.2,360.8,372.4,363.1,367.3,398.8,380.3,345.9,365.7,386.5,376.7,373.9,392.4,380.4,370.4,335.3,357.8,367.1,358.6,361.2,357.6,318.4,372.6,393.7,5.70%
,CO2,338.3,347.2,353.5,365.8,356.8,352.8,383.1,364.7,331.2,350.6,370.8,362.2,360.0,378.9,367.4,357.8,321.3,341.3,347.6,336.3,334.6,326.8,282.5,329.7,345.1,5.00%
,CH4,5.2,5.4,5.7,5.0,4.8,4.7,5.0,4.1,3.6,3.8,4.0,3.7,3.7,3.9,4.0,4.1,3.6,3.9,4.2,4.4,4.0,4.0,3.7,5.0,5.0,0.10%
,N2O,1.0,1.1,1.1,1.0,1.0,1.0,1.0,0.9,0.8,0.8,0.9,0.8,0.8,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.8,0.8,0.7,1.0,1.0,+
,HFCs,0.3,0.5,0.5,0.5,0.5,8.8,9.7,10.6,10.2,10.5,10.8,10.0,9.3,8.7,8.1,7.7,9.6,11.7,14.4,17.0,21.8,25.9,31.4,37.0,42.6,0.60%
,Electricity-Related,607.3,616.0,605.9,646.7,646.5,656.2,686.6,693.9,731.0,732.8,775.0,775.7,805.6,816.6,826.7,871.7,845.5,878.3,857.3,801.1,855.7,805.5,739.1,749.3,750.2,10.90%
,CO2,596.4,605.3,595.4,636.1,636.4,646.6,677.5,685.4,723.1,724.8,766.9,767.4,796.8,807.6,817.4,861.9,836.2,869.0,848.1,791.9,845.9,796.3,730.4,740.2,740.8,10.80%
,CH4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,+
,N2O,2.5,2.6,2.5,2.7,2.7,2.8,2.9,2.8,3.0,3.0,3.3,3.6,4.3,4.7,5.3,5.8,5.9,6.1,6.1,6.3,7.0,6.6,6.5,7.0,7.2,0.10%
,SF6,8.3,8.1,7.8,7.8,7.2,6.7,6.2,5.6,4.8,4.9,4.6,4.6,4.4,4.1,3.9,3.8,3.3,3.0,2.9,2.7,2.6,2.5,2.0,1.9,2.0,+
,Agriculture,624.8,614.0,628.1,647.4,630.0,657.9,668.8,639.8,675.5,635.4,643.8,660.2,664.1,661.4,694.3,664.2,678.8,702.2,687.6,690.9,699.5,699.1,697.5,688.3,687.0,10.00%
,Direct Emissions,563.4,554.3,565.4,583.8,567.3,589.4,594.1,582.4,612.7,582.9,584.3,590.2,597.9,598.5,625.8,600.2,616.3,631.6,615.9,623.1,631.1,633.7,635.4,626.3,625.4,9.10%
,CO2,31.0,31.6,32.9,34.1,35.6,36.6,37.4,39.0,39.2,38.8,39.3,41.5,42.7,43.7,46.7,47.4,49.6,49.0,46.0,47.2,48.2,49.9,51.4,50.4,51.2,0.70%
,CH4,214.8,216.6,220.1,224.9,227.5,235.4,232.9,230.5,234.9,234.7,235.4,234.3,239.0,235.9,231.4,238.6,239.3,246.9,244.3,244.1,244.6,242.7,242.8,239.2,237.9,3.50%
,N2O,317.6,306.1,312.5,324.9,304.2,317.3,323.8,313.0,338.6,309.3,309.5,314.4,316.3,318.9,347.7,314.1,327.4,335.7,325.6,331.8,338.3,341.0,341.1,336.6,336.4,4.90%
,Electricity-Related,61.3,59.7,62.7,63.6,62.7,68.5,74.6,57.4,62.8,52.5,59.5,70.0,66.1,62.9,68.5,64.1,62.6,70.6,71.7,67.8,68.4,65.4,62.1,62.1,61.6,0.90%
,CO2,60.2,58.6,61.6,62.5,61.7,67.5,73.6,56.7,62.1,51.9,58.9,69.2,65.4,62.2,67.7,63.4,61.9,69.8,71.0,67.0,67.6,64.7,61.4,61.3,60.8,0.90%
,CH4, +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  ,  +   , +  ,+
,N2O,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.6,+
,SF6,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,+
,U.S. Territories,33.7,39.3,37.5,39.4,41.6,40.7,40.7,42.2,42.5,43.8,46.1,53.3,52.2,58.2,59.7,58.2,59.2,52.4,49.7,47.6,45.3,45.4,47.6,47.5,44.7,0.70%
,Total Emissions,6397.1,6330.9,6448.7,6566.4,6650.3,6748.5,6949.8,7000.0,7066.8,7090.4,7259.0,7140.9,7185.3,7225.0,7370.0,7378.8,7316.1,7422.2,7216.4,6776.2,6985.5,6865.4,6643.0,6800.0,6870.5,100.00%
,LULUCF Sector Totalc,-738.0,-739.3,-745.5,-729.2,-743.1,-702.4,-704.9,-697.5,-682.3,-685.7,-683.0,-682.4,-662.8,-677.4,-679.7,-698.5,-719.4,-691.1,-686.7,-733.6,-766.4,-762.0,-749.7,-759.6,-762.5,-11.10%
,Net Emissions (Sources and Sinks),5659.2,5591.6,5703.1,5837.2,5907.2,6046.1,6245.0,6302.5,6384.5,6404.7,6576.0,6458.5,6522.5,6547.6,6690.3,6680.3,6596.7,6731.1,6529.7,6042.6,6219.0,6103.4,5893.3,6040.4,6108.0,88.90%
,Note: Total emissions presented without LULUCF. Net emissions presented with LULUCF.,,,,,,,,,,,,,,,,,,,,,,,,,,
,+ Does not exceed 0.05 MMT CO2 Eq. or 0.05 percent.  ,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Percent of total gross emissions excluding emissions from LULUCF for year 2014.,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Includes primarily HFC-134a.,,,,,,,,,,,,,,,,,,,,,,,,,,
,"c The LULUCF Sector Total is the net sum of all emissions (i.e., sources) of greenhouse gases to the atmosphere plus removals of CO2 (i.e., sinks or negative emissions) from the atmosphere.",,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Emissions from electricity generation are allocated based on aggregate electricity consumption in each end-use sector.  Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,
