Table 2-10:  U.S. Greenhouse Gas Emissions Allocated to Economic Sectors (MMT CO2 Eq. and Percent of Total in 2014) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sector/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Percenta
,Industry,1620.9,1590.3,1626.1,1597.5,1623.7,1640.0,1672.6,1668.6,1636.2,1598.9,1579.0,1521.0,1502.5,1477.7,1525.4,1486.2,1517.7,1509.8,1452.6,1304.9,1394.5,1399.0,1392.1,1448.2,1461.7,21.30%
,CO2 from Fossil Fuel Combustion,811.4,790.8,824.6,821.6,829.2,833.9,870.0,867.9,829.9,807.1,814.7,801.4,787.1,785.9,805.6,780.6,802.9,798.9,756.8,680.5,727.4,723.4,731.5,761.8,762.1,11.10%
,Natural Gas Systems,244.5,246.8,245.4,247.8,248.9,244.5,241.0,238.2,225.0,222.8,219.6,221.0,214.5,211.5,208.6,207.4,209.5,207.7,211.9,203.7,198.6,205.7,207.8,214.0,218.5,3.20%
,Non-Energy Use of Fuels,100.6,109.5,111.0,100.6,110.4,111.0,104.8,112.1,128.7,134.9,118.2,116.2,116.4,111.7,130.2,120.6,121.3,107.8,107.1,93.8,100.8,95.8,93.5,109.1,101.6,1.50%
,Petroleum Systems,42.3,42.3,41.4,40.6,41.8,43.1,44.5,46.2,46.8,47.1,48.5,49.7,50.3,51.1,52.0,52.8,53.9,54.5,55.2,55.8,58.2,60.5,62.2,68.4,71.7,1.00%
,Coal Mining,96.5,93.2,90.7,77.3,77.6,76.4,76.0,75.4,75.7,71.2,68.3,68.0,63.8,64.0,65.3,64.1,65.6,64.8,75.6,79.9,82.3,71.2,66.5,64.6,67.6,1.00%
,Iron and Steel Production,99.7,90.5,91.2,87.1,90.0,93.5,91.7,93.0,86.8,84.7,86.2,76.0,72.3,69.1,68.5,66.6,69.3,71.2,66.7,43.0,55.7,59.9,54.2,52.2,55.4,0.80%
,Cement Production,33.3,32.5,32.8,34.6,36.1,36.8,39.1,38.3,39.2,40.0,41.2,41.4,42.9,43.1,45.6,45.9,46.6,45.2,41.2,29.4,31.3,32.0,35.1,36.1,38.8,0.60%
,Petrochemical Production,21.8,23.3,23.9,24.9,26.9,28.3,29.4,30.8,31.2,32.6,31.9,27.8,28.9,28.7,30.8,27.5,27.7,28.1,24.8,23.8,27.3,26.4,26.5,26.5,26.6,0.40%
,Substitution of Ozone Depleting Substances,+ ,+ ,+ ,0.1,0.2,1.4,3.0,3.5,3.7,4.0,3.9,3.8,5.3,6.0,6.7,7.3,8.1,8.9,9.7,12.4,15.3,17.0,18.7,20.4,22.2,0.30%
,Lime Production,11.7,11.5,11.9,12.3,12.7,13.5,14.2,14.5,14.8,14.4,14.3,13.7,13.2,13.9,14.6,14.6,15.2,14.7,14.5,11.4,13.4,14.0,13.7,14.0,14.1,0.20%
,Nitric Acid Production,12.1,12.1,12.4,12.6,13.3,13.5,14.1,14.4,14.2,13.7,13.3,10.8,11.7,11.0,10.9,11.3,11.1,13.2,11.3,9.6,11.5,10.9,10.5,10.7,10.9,0.20%
,Ammonia Production,13.0,13.3,13.7,13.2,14.2,13.5,13.8,14.0,14.1,12.9,12.2,9.2,10.5,8.8,9.6,9.2,8.8,9.1,8.4,8.5,9.2,9.3,9.4,10.0,9.4,0.10%
,Abandoned Underground Coal Mines,7.2,7.3,7.9,8.2,9.7,9.8,10.1,9.0,8.2,8.3,8.8,8.0,7.3,7.2,6.9,6.6,6.5,6.3,6.3,6.4,6.6,6.4,6.2,6.2,6.3,0.10%
,Other Process Uses of Carbonates,2.5,2.2,2.2,2.0,2.2,3.1,3.4,3.2,3.4,3.8,2.3,2.3,2.6,1.9,2.8,3.2,3.6,3.7,2.9,3.8,4.8,4.7,4.0,5.2,6.0,0.10%
,Adipic Acid Production,15.2,14.9,13.0,13.9,13.5,16.9,16.7,9.4,5.1,4.7,5.3,4.5,4.9,5.5,3.7,7.1,8.6,10.3,2.5,2.7,4.2,10.2,5.5,4.0,5.4,0.10%
,Aluminum Production,28.3,25.1,23.5,22.2,19.6,19.4,20.4,18.6,16.2,16.1,16.0,8.4,10.6,8.9,7.5,7.6,6.7,8.7,7.6,4.9,4.6,6.8,6.4,6.2,5.4,0.10%
,HCFC-22 Production,46.1,41.4,46.0,41.9,39.9,41.7,39.4,38.1,49.9,38.5,36.2,25.0,26.7,15.6,21.8,20.0,17.5,21.5,17.2,6.8,8.0,8.8,5.5,4.1,5.0,0.10%
,Semiconductor Manufacture,3.6,3.6,3.6,4.5,4.9,6.2,6.9,7.3,9.0,9.1,7.7,5.4,5.6,5.3,5.0,4.7,5.2,4.8,4.4,3.1,4.0,5.1,4.5,4.2,4.7,0.10%
,Carbon Dioxide Consumption,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.9,1.0,1.4,1.3,1.4,1.8,1.9,1.8,1.8,4.4,4.1,4.0,4.2,4.5,0.10%
,N?O from Product Uses,4.2,4.1,3.9,4.4,4.4,4.4,4.4,4.7,4.7,4.7,4.7,4.7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,0.10%
,Urea Consumption for Non-Agricultural Purposes,3.8,3.5,3.9,4.6,4.3,4.3,3.9,3.9,4.8,4.7,4.2,4.1,3.7,3.6,3.7,3.7,3.5,4.9,4.1,3.4,4.7,4.0,4.4,4.2,4.0,0.10%
,Stationary Combustion,4.9,4.7,4.9,4.9,5.1,5.1,5.2,5.3,5.0,4.9,4.9,4.6,4.4,4.4,4.6,4.6,4.7,4.5,4.2,3.6,3.9,3.9,3.9,3.9,3.9,0.10%
,Soda Ash Production and Consumption,2.8,2.8,2.8,2.7,2.7,3.0,3.0,3.1,3.0,2.9,2.9,2.9,2.8,2.8,2.9,3.0,2.9,2.9,3.0,2.6,2.7,2.7,2.8,2.8,2.8,+
,Ferroalloy Production,2.2,1.9,2.0,1.9,2.0,2.1,2.1,2.2,2.2,2.2,1.9,1.5,1.4,1.3,1.4,1.4,1.5,1.6,1.6,1.5,1.7,1.7,1.9,1.8,1.9,+
,Titanium Dioxide Production,1.2,1.2,1.4,1.4,1.5,1.5,1.5,1.7,1.7,1.7,1.8,1.7,1.8,1.8,2.1,1.8,1.8,1.9,1.8,1.6,1.8,1.7,1.5,1.7,1.8,+
,Mobile Combustion,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.5,+
,Glass Production,1.5,1.4,1.5,1.6,1.7,1.8,1.7,1.6,1.5,1.4,1.7,1.4,1.7,1.6,1.6,1.9,2.1,1.5,1.5,1.0,1.5,1.3,1.2,1.3,1.3,+
,Magnesium Production and Processing,5.2,4.9,5.2,5.3,5.2,5.4,6.3,6.0,5.4,4.8,2.9,2.7,2.8,3.3,2.7,2.7,2.8,2.5,1.8,1.6,2.1,2.8,1.7,1.5,1.2,+
,Phosphoric Acid Production,1.5,1.4,1.5,1.3,1.5,1.5,1.6,1.5,1.6,1.5,1.4,1.3,1.3,1.4,1.4,1.3,1.2,1.2,1.1,1.0,1.1,1.2,1.1,1.1,1.1,+
,Zinc Production,0.6,0.8,0.8,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.7,0.7,1.1,1.0,1.0,1.0,1.0,1.2,0.9,1.2,1.3,1.5,1.4,1.0,+
,Lead Production,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,+
,Silicon Carbide Production and Consumption,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,+
,Agriculture,563.4,554.3,565.4,583.8,567.3,589.4,594.1,582.4,612.7,582.9,584.3,590.2,597.9,598.5,625.8,600.2,616.3,631.6,615.9,623.1,631.1,633.7,635.4,626.3,625.4,9.10%
,N2O from Agricultural Soil Management,303.3,291.5,297.9,310.5,289.1,301.8,308.4,297.3,322.8,292.9,292.6,297.6,299.1,301.7,331.1,297.2,309.6,317.8,308.0,314.2,320.7,323.1,323.1,318.6,318.4,4.60%
,Enteric Fermentation,164.2,164.4,169.2,171.6,174.7,178.7,177.5,174.1,172.3,172.4,170.6,169.6,169.8,170.0,166.8,168.9,171.6,174.5,173.8,173.0,171.3,168.9,166.7,165.5,164.3,2.40%
,Manure Management,51.1,53.1,51.7,53.3,56.7,58.4,57.7,59.9,64.2,65.4,66.5,68.6,70.3,71.2,69.3,72.9,74.2,79.4,78.2,76.8,78.1,78.9,81.2,78.9,78.7,1.10%
,CO2 from Fossil Fuel Combustion,31.0,31.6,32.9,34.1,35.6,36.6,37.4,39.0,39.2,38.8,39.3,41.5,42.7,43.7,46.7,47.4,49.6,49.0,46.0,47.2,48.2,49.9,51.4,50.4,51.2,0.70%
,Rice Cultivation,13.1,13.0,13.0,13.6,10.4,13.1,12.4,11.3,13.5,12.6,14.4,12.0,15.2,11.0,11.0,13.0,10.3,9.9,8.9,11.0,11.9,11.8,11.9,11.9,11.9,0.20%
,Mobile Combustion,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,+
,Field Burning of Agricultural Residues,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,+
,Stationary Combustion,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+
,Commercial,418.1,426.5,424.1,422.0,425.1,424.5,431.1,422.4,396.3,394.6,405.2,395.9,398.3,417.2,419.5,420.3,406.3,422.4,433.3,437.4,425.5,432.1,408.5,437.5,453.9,6.60%
,CO2 from Fossil Fuel Combustion,217.4,223.3,220.6,220.1,222.4,225.6,234.5,233.6,215.9,218.8,230.9,225.0,225.0,235.2,234.2,223.5,208.6,218.8,223.6,223.5,220.1,220.7,196.7,221.0,231.9,3.40%
,Landfills,179.6,181.7,181.4,179.2,179.0,174.2,170.6,161.1,151.4,144.7,141.4,136.8,137.4,144.0,145.4,154.0,151.7,153.1,154.5,154.5,142.1,144.4,142.3,144.3,148.0,2.20%
,Substitution of Ozone Depleting Substances,+ ,+ ,+ ,0.3,0.8,1.6,2.6,3.8,5.1,6.7,8.0,9.6,11.3,13.1,14.7,17.6,20.9,25.0,29.6,34.5,38.5,42.1,44.9,47.4,49.2,0.70%
,Wastewater Treatment,15.7,15.9,16.2,16.2,16.3,16.4,16.3,16.5,16.5,16.6,16.5,16.2,16.2,16.0,15.9,15.9,15.9,15.9,15.9,15.6,15.5,15.3,15.0,14.8,14.7,0.20%
,Human Sewage,3.4,3.4,3.5,3.6,3.7,3.7,3.8,3.8,3.9,4.0,4.1,4.1,4.2,4.3,4.4,4.3,4.4,4.5,4.4,4.4,4.5,4.7,4.8,4.8,4.8,0.10%
,Composting,0.7,0.8,0.9,1.2,1.5,1.6,1.9,2.1,2.3,2.5,2.8,2.8,2.9,3.3,3.5,3.5,3.6,3.7,3.8,3.6,3.5,3.5,3.7,3.9,3.9,0.10%
,Stationary Combustion,1.4,1.4,1.4,1.5,1.4,1.4,1.5,1.5,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.2,1.3,1.4,+
,Residential,344.9,354.2,360.8,372.4,363.1,367.3,398.8,380.3,345.9,365.7,386.5,376.7,373.9,392.4,380.4,370.4,335.3,357.8,367.1,358.6,361.2,357.6,318.4,372.6,393.7,5.70%
,CO2 from Fossil Fuel Combustion,338.3,347.2,353.5,365.8,356.8,352.8,383.1,364.7,331.2,350.6,370.8,362.2,360.0,378.9,367.4,357.8,321.3,341.3,347.6,336.3,334.6,326.8,282.5,329.7,345.1,5.00%
,Substitution of Ozone Depleting Substances,0.3,0.5,0.5,0.5,0.5,8.8,9.7,10.6,10.2,10.5,10.8,10.0,9.3,8.7,8.1,7.7,9.6,11.7,14.4,17.0,21.8,25.9,31.4,37.0,42.6,0.60%
,Stationary Combustion,6.3,6.5,6.8,6.1,5.7,5.7,6.0,5.0,4.4,4.6,4.9,4.5,4.6,4.8,4.8,4.9,4.4,4.8,5.1,5.3,4.8,4.9,4.5,5.9,6.0,0.10%
,U.S. Territories,33.7,39.3,37.5,39.4,41.6,40.7,40.7,42.2,42.5,43.8,46.1,53.3,52.2,58.2,59.7,58.2,59.2,52.4,49.7,47.6,45.3,45.4,47.6,47.5,44.7,0.70%
,CO2 from Fossil Fuel Combustion,27.9,31.6,33.3,34.4,37.8,34.5,32.6,33.4,33.4,34.5,35.9,47.8,42.8,49.9,52.1,49.9,50.2,45.1,40.8,43.5,41.4,41.5,43.6,43.5,41.0,0.60%
,Non-Energy Use of Fuels,5.7,7.5,4.1,4.8,3.6,6.0,8.0,8.7,8.9,9.2,10.0,5.3,9.3,8.2,7.3,8.1,8.8,7.2,8.7,3.9,3.7,3.7,3.8,3.8,3.5,0.10%
,Stationary Combustion,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,+
,Total Emissions,6397.1,6330.9,6448.7,6566.4,6650.3,6748.5,6949.8,7000.0,7066.8,7090.4,7259.0,7140.9,7185.3,7225.0,7370.0,7378.8,7316.1,7422.2,7216.4,6776.2,6985.5,6865.4,6643.0,6800.0,6870.5,100.00%
,LULUCF Sector Totalb,-738.0,-739.3,-745.5,-729.2,-743.1,-702.4,-704.9,-697.5,-682.3,-685.7,-683.0,-682.4,-662.8,-677.4,-679.7,-698.5,-719.4,-691.1,-686.7,-733.6,-766.4,-762.0,-749.7,-759.6,-762.5,-11.10%
,Net Emissions (Sources and Sinks),5659.2,5591.6,5703.1,5837.2,5907.2,6046.1,6245.0,6302.5,6384.5,6404.7,6576.0,6458.5,6522.5,6547.6,6690.3,6680.3,6596.7,6731.1,6529.7,6042.6,6219.0,6103.4,5893.3,6040.4,6108.0,88.90%
,Note: Total emissions presented without LULUCF. Total net emissions presented with LULUCF.,,,,,,,,,,,,,,,,,,,,,,,,,,
,+ Does not exceed 0.05 MMT CO2 Eq. or 0.05 percent.,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Percent of total (gross) emissions excluding emissions from LULUCF for 2014.,,,,,,,,,,,,,,,,,,,,,,,,,,
,"b The LULUCF Sector Total is the net sum of all emissions (i.e., sources) of greenhouse gases to the atmosphere plus removals of CO2 (i.e., sinks or negative emissions) from the atmosphere.",,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:  Totals may not sum due to independent rounding. Parentheses indicate negative values or sequestration.  ,,,,,,,,,,,,,,,,,,,,,,,,,,
