Table A-3: U.S Greenhouse Gas Inventory Source Categories with LULUCF,,,,,
IPCC Source Categories,Direct GHG,2014 Emissions (MMT CO2 Eq.),Key Category?,ID Criteriaa,Level in which year(s)?b
CO2 Emissions from Glass Production,CO2,1.3,,,
CO2 Emissions from Phosphoric Acid Production,CO2,1.1,,,
CO2 Emissions from Zinc Production,CO2,1.0,,,
CO2 Emissions from Lead Production,CO2,0.5,,,
CO2 Emissions from Silicon Carbide Production and Consumption,CO2,0.2,,,
CO2 Emissions from Magnesium Production and Processing,CO2,+,,,
CH4 Emissions from Petrochemical Production,CH4,0.1,,,
CH4 Emissions from Ferroalloy Production,CH4,+,,,
CH4 Emissions from Silicon Carbide Production and Consumption,CH4,+,,,
CH4 Emissions from Iron and Steel Production & Metallurgical Coke Production,CH4,+,,,
N2O Emissions from Nitric Acid Production,N2O,10.9,,,
N2O Emissions from Adipic Acid Production,N2O,5.4,•,T1,
N2O Emissions from Product Uses,N2O,4.2,,,
N2O Emissions from Semiconductor Manufacture,N2O,0.2,,,
Emissions from Substitutes for Ozone Depleting Substances,HiGWP,161.2,•,L1 T1 L2 T2,2014
SF6 Emissions from Electrical Transmission and Distribution,HiGWP,5.6,•,L1 T1,19901
HFC-23 Emissions from HCFC-22 Production,HiGWP,5.0,•,T1 T2,
"PFC, HFC, SF6, and NF3 Emissions from Semiconductor Manufacture",HiGWP,4.5,,,
PFC Emissions from Aluminum Production,HiGWP,2.5,•,T1,
SF6 Emissions from Magnesium Production and Processing,HiGWP,1.0,,,
HFC-134a Emissions from Magnesium Production and Processing,HiGWP,0.1,,,
Agriculture,,,,,
CH4 Emissions from Enteric Fermentation,CH4,164.3,•,L1 T1 L2,"1990, 2014"
CH4 Emissions from Manure Management,CH4,61.2,•,L1 T1 L2,"19901, 2014"
CH4 Emissions from Rice Cultivation,CH4,11.9,,,
CH4 Emissions from Field Burning of Agricultural Residues,CH4,0.3,,,
DirectN2O Emissions from Agricultural Soil Management,N2O,261.0,•,L1 L2,"1990, 2014"
IndirectN2O Emissions from Applied Nitrogen,N2O,57.3,•,L1 L2 T2,"1990, 2014"
N2O Emissions from Manure Management,N2O,17.5,,,
N2O Emissions from Field Burning of Agricultural Residues,N2O,0.1,,,
Waste,,,,,
CH4 Emissions from Landfills,CH4,148.0,•,L1 T1 L2 T2,"1990, 2014"
CH4 Emissions from Wastewater Treatment,CH4,14.7,,,
CH4 Emissions from Composting,CH4,2.1,,,
N2O Emissions from Wastewater Treatment,N2O,4.8,,,
N2O Emissions from Composting,N2O,1.8,,,
"Land Use, Land Use Change, and Forestry",,,,,
CO2 Emissions from Land Converted to Grassland,CO2,40.4,•,L1 ,"19901, 20141"
CO2 Emissions from Land Converted to Cropland,CO2,22.1,•,L1 T1 L2 T2,1990
CO2 Emissions from Urea Fertilization,CO2,4.5,,,
CO2 Emissions from Liming,CO2,4.1,,,
CO2 Emissions from Grassland Remaining Grassland,CO2,3.8,•,T1 L2 T2,"19902, 20142"
CO2 Emissions from Peatlands Remaining Peatlands,CO2,0.8,,,
CO2 Emissions from Land Converted to Forest Land,CO2,-0.3,,,
CO2 Emissions from Cropland Remaining Cropland,CO2,-8.4,•,L1 T1 L2 T2,"1990, 20142"
CO2 Emissions from Landfilled Yard Trimmings and Food Scraps,CO2,-11.6,•,T1 L2 T2,19902
CO2 Emissions from Urban Trees,CO2,-90.6,•,L1 T1 L2 T2,"1990, 2014"
CO2 Emissions from Forest Land Remaining Forest Land,CO2,-742.3,•,L1 T1 L2 T2,"1990, 2014"
CH4 Emissions from Forest Fires,CH4,7.3,•,L2 T2,20142
CH4 Emissions from Peatlands Remaining Peatlands,CH4,+,,,
N2O Emissions from Forest Fires,N2O,4.8,,,
N2O Emissions from Settlement Soils,N2O,2.4,,,
N2O Emissions from Forest Soils,N2O,0.5,,,
N2O Emissions from Peatlands Remaining Peatlands,N2O,+,,,
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,
"a For the ID criteria, Q refers to “Qualitative”, L refers to a key category identified through a level assessment; T refers to a key category identified through a trend assessment and the subscripted number refers to either an Approach 1 or Approach 2 assessment (e.g., L2 designates a source is a key category for an Approach 2 level assessment).",,,,,
"b If the source is a key category for both L1 and L2 (as designated in the ID criteria column), it is a key category for both assessments in the years provided unless noted by a subscript, in which case it is a key category only for that assessment in only that year (.e.g.,19902 designates a source is a key category for the Approach 2 assessment only in 1990).",,,,,
c Emissions from these sources not included in totals.,,,,,
Note: Parentheses indicate negative values (or sequestration).,,,,,
