Table A-1 : Key Source Categories for the United States (1990-2014),,,,,,,,,,,
IPCC Source Categories,Gas,Approach 1,,,,Approach 2,,,,Quala,2014 Emissions (MMT CO2 Eq.)
CO2 Emissions from Land Converted to Grassland,CO2,,,•,,,,,,,40.4
CO2 Emissions from Land Converted to Cropland,CO2,,,•,•,,,•,•,,22.1
CO2 Emissions from Grassland Remaining Grassland,CO2,,,,•,,,•,•,,3.8
CO2 Emissions from Cropland Remaining Cropland,CO2,,,•,•,,,•,•,,-8.4
CO2 Emissions from Landfilled Yard Trimmings and Food Scraps,CO2,,,,•,,,•,•,,-11.6
CO2 Emissions from Urban Trees,CO2,,,•,•,,,•,•,,-90.6
CO2 Emissions from Forest Land Remaining Forest Land,CO2,,,•,•,,,•,•,,-742.3
CH4 Emissions from Forest Fires,CH4,,,,,,,•,•,,7.3
Subtotal Without LULUCF,,,,,,,,,,,6687.8
Total Emissions Without LULUCF,,,,,,,,,,,6870.5
Percent of Total Without LULUCF,,,,,,,,,,,97%
Subtotal With LULUCF,,,,,,,,,,,5905.5
Total Emissions With LULUCF,,,,,,,,,,,6108
Percent of Total With LULUCF,,,,,,,,,,,97%
a Qualitative criteria.,,,,,,,,,,,
b Emissions from this source not included in totals.,,,,,,,,,,,
"Notes: Parentheses indicate negative values (or sequestration). Table A-2 provides a complete listing of source categories by IPCC sector, along with notations on the criteria used in identifying key categories, without LULUCF sources and sinks. Similarly, Table A-3 provides a complete listing of source and sink categories by IPCC sector, along with notations on the criteria used in identifying key categories, including LULUCF sources and sinks. The notations refer specifically to the year(s) in the inventory time series (i.e., 1990 to 2014) in which each source category reached the threshold for being a key category based on either an Approach 1 or Approach 2 level assessment.",,,,,,,,,,,
