"Table A-5: 1990 Key Source Category Approach 1 and Approach 2 Analysis—Level Assessment, with LULUCF",,,,,,
IPCC Source Categories,Direct GHG,1990 Estimate (MMT CO2 Eq.),Approach 1 Level Assessment,Cumulative Total,Uncertaintya,Approach 2 Level Assessment
CO2 Emissions from Stationary Combustion - Coal - Residential,CO2,3,<0.01 ,1,NE,<0.001 
CO2 Emissions from Soda Ash Production and Consumption,CO2,2.8,<0.01 ,1,7%,<0.001 
CO2 Emissions from Urea Fertilization,CO2,2.4,<0.01 ,1,42%,<0.001 
N2O Emissions from Forest Fires,N2O,2.2,<0.01 ,1,157%,<0.001 
CO2 Emissions from Ferroalloy Production,CO2,2.2,<0.01 ,1,12%,<0.001 
Non-CO2 Emissions from Stationary Combustion - Industrial,CH4,1.8,<0.01 ,1,50%,<0.001 
N2O Emissions from Mobile Combustion: Aviation,N2O,1.7,<0.01 ,1,3%,<0.001 
CO2 Emissions from Glass Production,CO2,1.5,<0.01 ,1,5%,<0.001 
CO2 Emissions from Phosphoric Acid Production,CO2,1.5,<0.01 ,1,20%,<0.001 
CO2 Emissions from Carbon Dioxide Consumption,CO2,1.5,<0.01 ,1,13%,<0.001 
N2O Emissions from Settlement Soils,N2O,1.4,<0.01 ,1,268%,<0.001 
N2O Emissions from Mobile Combustion: Other,N2O,1.2,<0.01 ,1,2%,<0.001 
CO2 Emissions from Titanium Dioxide Production,CO2,1.2,<0.01 ,1,13%,<0.001 
CO2 Emissions from Peatlands Remaining Peatlands,CO2,1.1,<0.01 ,1,19%,<0.001 
Non-CO2 Emissions from Stationary Combustion - Residential,N2O,1,<0.01 ,1,206%,<0.001 
Non-CO2 Emissions from Stationary Combustion - Commercial,CH4,1,<0.01 ,1,140%,<0.001 
CO2 Emissions from Land Converted to Forest Land,CO2,0.7,<0.01 ,1,70%,<0.001 
CO2 Emissions from Stationary Combustion - Coal - U.S. Territories,CO2,0.6,<0.01 ,1,19%,<0.001 
CO2 Emissions from Zinc Production,CO2,0.6,<0.01 ,1,21%,<0.001 
N2O Emissions from Mobile Combustion: Marine,N2O,0.6,<0.01 ,1,31%,<0.001 
CO2 Emissions from Lead Production,CO2,0.5,<0.01 ,1,16%,<0.001 
N2O Emissions from Incineration of Waste,N2O,0.5,<0.01 ,1,163%,<0.001 
CO2 Emissions from Stationary Combustion - Geothermal Energy,CO2,0.4,<0.01 ,1,NA,<0.001 
CH4 Emissions from Composting,CH4,0.4,<0.01 ,1,50%,<0.001 
CO2 Emissions from Silicon Carbide Production and Consumption,CO2,0.4,<0.01 ,1,9%,<0.001 
Non-CO2 Emissions from Stationary Combustion - Commercial,N2O,0.4,<0.01 ,1,42%,<0.001 
N2O Emissions from Composting,N2O,0.3,<0.01 ,1,50%,<0.001 
CH4 Emissions from Mobile Combustion: Other,CH4,0.3,<0.01 ,1,2%,<0.001 
Non-CO2 Emissions from Stationary Combustion - Electricity Generation,CH4,0.3,<0.01 ,1,22%,<0.001 
Emissions from Substitutes for Ozone Depleting Substances,Several,0.3,<0.01 ,1,10%,<0.001 
CH4 Emissions from Field Burning of Agricultural Residues,CH4,0.2,<0.01 ,1,40%,<0.001 
CH4 Emissions from Petrochemical Production,CH4,0.2,<0.01 ,1,55%,<0.001 
N2O Emissions from Forest Soils,N2O,0.1,<0.01 ,1,318%,<0.001 
N2O Emissions from Field Burning of Agricultural Residues,N2O,0.1,<0.01 ,1,29%,<0.001 
Non-CO2 Emissions from Stationary Combustion - U.S. Territories,N2O,0.1,<0.01 ,1,200%,<0.001 
CH4 Emissions from Mobile Combustion: Aviation,CH4,0.1,<0.01 ,1,3%,<0.001 
Non-CO2 Emissions from Stationary Combustion - U.S. Territories,CH4,+ ,<0.01 ,1,56%,<0.001 
N2O Emissions from Semiconductor Manufacture,N2O,+ ,<0.01 ,1,12%,<0.001 
CH4 Emissions from Silicon Carbide Production and Consumption,CH4,+ ,<0.01 ,1,10%,<0.001 
CH4 Emissions from Mobile Combustion: Marine,CH4,+ ,<0.01 ,1,8%,<0.001 
CH4 Emissions from Iron and Steel Production & Metallurgical Coke Production,CH4,+ ,<0.01 ,1,19%,<0.001 
CH4 Emissions from Ferroalloy Production,CH4,+ ,<0.01 ,1,12%,<0.001 
CH4 Emissions from Peatlands Remaining Peatlands,CH4,+ ,<0.01 ,1,62%,<0.001 
CO2 Emissions from Magnesium Production and Processing,CO2,+ ,<0.01 ,1,5%,<0.001 
N2O Emissions from Peatlands Remaining Peatlands,N2O,+ ,<0.01 ,1,61%,<0.001 
CH4 Emissions from Incineration of Waste,CH4,+ ,<0.01 ,1,NE,<0.001 
HFC-134a Emissions from Magnesium Production and Processing,HFCs,0,<0.01 ,1,5%,<0.001 
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,
"a Percent relative uncertainty. If the corresponding uncertainty is asymmetrical, the uncertainty given here is the larger and always positive.",,,,,,
NE (Not Estimated),,,,,,
NA (Not Available),,,,,,
