"Table 9-2:  Revisions to Total Net Flux from Land Use, Land-Use Change, and Forestry (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Land Use Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Average Annual Change
,Percent Change,3.20%,2.10%,-0.40%,-0.90%,3.20%,5.00%,4.80%,0.30%,-4.00%,-15.80%,-12.20%,-0.90%,12.50%,21.20%,24.70%,21.20%,22.80%,23.00%,20.80%,13.70%,10.00%,9.80%,10.80%,11.50%,
,NC - No Change,,,,,,,,,,,,,,,,,,,,,,,,,
,+ Absolute value does not exceed 0.05 MMT CO2 Eq. or 0.05 percent.,,,,,,,,,,,,,,,,,,,,,,,,,
,* Indicates a new source for the current Inventory year,,,,,,,,,,,,,,,,,,,,,,,,,
,a Includes the effects of net additions to stocks of carbon stored in forest ecosystem pools and harvested wood products.,,,,,,,,,,,,,,,,,,,,,,,,,
,"b Estimates include emissions from N fertilizer additions on both Forest Land Remaining Forest Land and Land Converted to Forest Land, but not from land-use conversion.",,,,,,,,,,,,,,,,,,,,,,,,,
,c Estimates include C stock changes in all pools.,,,,,,,,,,,,,,,,,,,,,,,,,
,d Estimates include emissions from N fertilizer additions on both Settlements Remaining Settlements and Land Converted to Settlements.,,,,,,,,,,,,,,,,,,,,,,,,,
,"e LULUCF emissions include the CO2, CH4, and N2O emissions reported for Non-CO2 Emissions from Forest Fires, N2O Fluxes from Forest Soils, CO2 Emissions from Liming, CO2 Emissions from Urea Fertilization, Peatlands Remaining Peatlands, and N2O Fluxes from Settlement Soils.",,,,,,,,,,,,,,,,,,,,,,,,,
,f LULUCF Total Net Flux includes any C sequestration gains and losses from all land use and land use conversion categories.,,,,,,,,,,,,,,,,,,,,,,,,,
,"g The LULUCF Sector Total is the net sum of all emissions (i.e., sources) of greenhouse gases to the atmosphere plus removals of CO2 (i.e., sinks or negative emissions) from the atmosphere. ",,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Numbers in parentheses indicate an increase in C sequestration. Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
