Table 3-12:  CO2 Emissions from Fossil Fuel Combustion in Transportation End-Use Sector (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Light-Duty Trucks,11.5,11.4,12.6,13.5,14,14.9,15.7,16.3,17.2,18.9,20.1,20.8,21.9,27.2,28.9,25.8,26.7,13.5,12,12,12.5,13,12.9,12.9,13.9
,Medium- and Heavy-Duty Trucksc,190.5,186.1,197.2,210.8,226.5,238.2,251,265.7,278.2,295.4,309.2,308.7,321.9,323.2,334,360.2,368.8,382.2,363.6,329.5,342.7,344.4,344.4,350,361.3
,Buses,8,7.4,7.7,8.4,8.8,8.7,9.1,9.2,9.4,10.6,10.2,9.3,8.8,9.5,13.5,10.6,10.6,15.5,14.6,13.6,13.5,14.4,15.4,15.5,16.6
,Rail,35.5,33.4,34.4,35.3,38.1,39.6,40.3,40.4,40.7,42.2,42.1,42.2,41.9,42.8,45.1,45.5,47.7,46.2,42.9,35.9,38.6,40.4,39.5,40.1,41.7
,Recreational Boats,2,2,2.1,2.2,2.3,2.3,2.4,2.5,2.6,2.7,2.8,2.9,2.9,3,3.1,3.2,3.3,3.3,3.4,3.5,3.6,3.6,3.7,3.7,3.8
,Ships and Other Boatsf,7.5,7.9,9.9,9.1,11.2,12.3,14.7,14.6,12.3,13.7,14.1,12.7,12.3,12,8.2,8,7.4,8.1,7.8,7.8,7.4,10.1,7.5,7.5,6.2
,International Bunker Fuelsg,11.7,11,10.8,10.8,9,9.3,8.4,9.3,11.7,8.4,6.3,5.4,6.1,7.7,10.6,9.4,8.8,8.2,9,8.2,9.5,7.9,6.8,5.6,6.1
,Jet Fuel,184.2,215.2,213.4,215.1,223.9,172.2,235.6,238.9,242.4,250,195,246.1,239.9,234.5,242.9,189.3,182.3,179.5,173,154.1,151.5,146.6,143.4,147.1,148.6
,Commercial Aircrafth,109.9,103.3,105.5,108.7,113.5,115.2,118.6,122.9,119.7,130.3,139.3,124.6,121.3,122.9,124.8,132.7,137,139.7,127.3,119.5,113.3,114.6,113.3,114.3,115.2
,Military Aircraft,35,34.1,27.9,27.2,24.7,24.3,24.4,22.4,22.7,22,22.6,24.2,21.7,22,22.5,19.4,17.8,17.8,17.6,15.4,13.6,11.6,12.1,11,15.4
,General Aviation Aircraft,39.4,31.4,33.2,32.3,37.3,32.7,41.5,39.2,46,40.1,33,40.8,42.3,34.4,39.3,37.3,27.5,22,28.2,19.2,24.6,20.4,18,21.8,18
,International Bunker Fuelsg,38,46.3,46.8,46.9,48.3,49.9,51,54.5,54.1,57.6,62,56.4,54.6,55.2,56.2,60.1,60.3,61.5,56.1,52.8,61,64.8,64.5,65.7,69.4
,      International Bunker Fuels from Commercial Aviation,30,38.3,40.2,40.5,42.6,44.4,45.8,49.7,49.2,52.8,57.4,51.3,49.9,50.6,51.4,55.6,56.4,57.5,52.4,49.2,57.4,61.7,61.4,62.8,66.3
,Aviation Gasoline,3.1,2.9,2.8,2.7,2.6,2.7,2.6,2.7,2.5,2.7,2.5,2.4,2.3,2.1,2.2,2.4,2.3,2.2,2,1.8,1.9,1.9,1.7,1.5,1.5
,General Aviation Aircraft,3.1,2.9,2.8,2.7,2.6,2.7,2.6,2.7,2.5,2.7,2.5,2.4,2.3,2.1,2.2,2.4,2.3,2.2,2,1.8,1.9,1.9,1.7,1.5,1.5
,Residual Fuel Oil,22.6,77,80.3,67.7,66.3,29.1,63.9,53.4,50.6,50,33.3,44,50.8,42.9,55.5,19.3,23,29,20.4,13.9,20.4,19.4,15.8,15.1,5.8
,Ships and Other Boatsf,22.6,16.9,30,27.6,26.9,29.1,23.6,10.3,5.9,13.2,33.3,12,17.1,7.4,14,19.3,23,29,20.4,13.9,20.4,19.4,15.8,15.1,5.8
,International Bunker Fuelsg,53.7,60.2,50.3,40.1,39.4,39.3,40.3,43.2,44.7,36.8,33.3,32,33.7,35.4,41.5,43.6,45,45.6,49.2,45.4,46.5,38.9,34.5,28.5,27.7
,Natural Gas,36,32.9,32.2,34.2,37.6,38.4,39.1,41.4,35.3,35.8,35.6,34.9,37,33.2,31.9,33.1,33.1,35.2,36.7,37.9,38.1,38.9,41.3,47,47.6
,Passenger Cars,-,-,-,+ ,0.1,0.1,+ ,+ ,+ ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Light-Duty Trucks,-,-,-,+ ,-,+ ,+ ,+ ,+ ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Buses,-,-,-,+ ,+ ,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.8,0.8,1,1.1,1.2,1.1,1.1,1,1.1,1.1
,Pipelinei,36,32.9,32.2,34.1,37.5,38.2,38.9,41.2,35,35.5,35.2,34.4,36.4,32.5,31.1,32.2,32.3,34.2,35.6,36.7,37.1,37.8,40.3,45.9,46.5
,LPG,1.4,1.3,1.2,1.2,2.1,1.1,1,0.9,1.1,0.9,0.7,0.8,0.9,1.1,1.2,1.7,1.7,1.4,2.5,1.7,1.8,2.1,2.3,2.7,2.7
,Light-Duty Trucks,0.6,0.5,0.5,0.5,0.9,0.5,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.8,0.9,1.3,1.2,1,1.8,1.2,1.3,1.5,1.6,1.9,1.9
,Medium- and Heavy-Duty Trucksc,0.8,0.8,0.7,0.7,1.1,0.6,0.5,0.4,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.7,0.5,0.6,0.6,0.7,0.8,0.8
,Buses,-,-,-,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,-,-,-,-,-,-,+ ,+ 
,Electricity,3,3,3,3,3.1,3.1,3.1,3.1,3.2,3.2,3.4,3.6,3.5,4.3,4.5,4.7,4.5,5.1,4.7,4.5,4.5,4.3,3.9,4,4.1
,Rail,3,3,3,3,3.1,3.1,3.1,3.1,3.2,3.2,3.4,3.6,3.5,4.3,4.5,4.7,4.5,5.1,4.7,4.5,4.5,4.3,3.9,4,4.1
,Ethanol j,4.1,4.8,5.5,6.4,7.2,7.7,5.5,7,7.7,8.1,9.2,9.6,11.5,15.6,19.6,22.4,30.2,38.1,53.8,61.2,71.3,71.5,71.5,73.4,74.8
,Total,1496.8,1450.6,1499.8,1535.4,1580.1,1612.9,1657.4,1673.2,1709.8,1764.3,1808.9,1793.1,1834.1,1826.5,1871.7,1891.8,1887.2,1891.2,1796.5,1721.4,1732.7,1711.9,1700.6,1717.0,1741.7
,Total (Including Bunkers)g,1600.3,1568.2,1607.7,1633.3,1676.8,1711.4,1757.1,1780.2,1820.3,1867.0,1910.6,1886.8,1928.5,1924.9,1980.1,2004.9,2001.3,2006.6,1910.8,1827.9,1849.7,1823.6,1806.4,1816.8,1844.9
,"""-"" Unreported or zero",,,,,,,,,,,,,,,,,,,,,,,,,
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,
,"a In 2011 FHWA changed its methods for estimating vehicle miles traveled (VMT) and related data. These methodological changes included how vehicles are classified, moving from a system based on body-type to one that is based on wheelbase.  These changes were first incorporated for the 1990 through 2010 Inventory and apply to the 2007 through 2014 time period. This resulted in large changes in VMT and fuel consumption data by vehicle class, thus leading to a shift in emissions among on-road vehicle classes. ",,,,,,,,,,,,,,,,,,,,,,,,,
,"b Gasoline and diesel highway vehicle fuel consumption estimates are based on data from FHWA Highway Statistics Table VM-1 and MF-27 (FHWA 1996 through 2015). These fuel consumption estimates are combined with estimates of fuel shares by vehicle type from DOE’s TEDB Annex Tables A.1 through A.6 (DOE 1993 through 2015).  TEDB data for 2014 has not been published yet, therefore 2013 data is used as a proxy. ",,,,,,,,,,,,,,,,,,,,,,,,,
,"c Includes medium- and heavy-duty trucks over 8,500 lbs.",,,,,,,,,,,,,,,,,,,,,,,,,
,"d In 2015, EPA incorporated the NONROAD2008 model into MOVES2014. The current Inventory uses the NONROAD component of MOVES2014a for years 1999 through 2014.  This update resulted in small changes (less than two percent) to the 1999 through 2013 time series for NONROAD fuel consumption due to differences in the gasoline and diesel default fuel densities used within the model iterations.",,,,,,,,,,,,,,,,,,,,,,,,,
,e Updates to the distillate fuel oil heat content data from EIA for years 1993 through 2014 resulted in changes to the time series for energy consumption and emissions compared to the previous Inventory.,,,,,,,,,,,,,,,,,,,,,,,,,
,f Note that large year over year fluctuations in emission estimates partially reflect nature of data collection for these sources.,,,,,,,,,,,,,,,,,,,,,,,,,
,"g Official estimates exclude emissions from the combustion of both aviation and marine international bunker fuels; however, estimates including international bunker fuel-related emissions are presented for informational purposes.",,,,,,,,,,,,,,,,,,,,,,,,,
,"h Commercial aircraft, as modeled in FAA’s AEDT, consists of passenger aircraft, cargo, and other chartered flights. ",,,,,,,,,,,,,,,,,,,,,,,,,
,i Pipelines reflect CO2 emissions from natural gas powered pipelines transporting natural gas.,,,,,,,,,,,,,,,,,,,,,,,,,
,"j Ethanol estimates are presented for informational purposes only. See Section 3.10 of this chapter and the estimates in Land Use, Land-Use Change, and Forestry (see Chapter 6), in line with IPCC methodological guidance and UNFCCC reporting obligations, for more information on ethanol.",,,,,,,,,,,,,,,,,,,,,,,,,
,"Notes: This table does not include emissions from non-transportation mobile sources, such as agricultural equipment and construction/mining equipment; it also does not include emissions associated with electricity consumption by pipelines or lubricants used in transportation. In addition, this table does not include CO2 emissions from U.S. Territories, since these are covered in a separate chapter of the Inventory. Totals may not sum due to independent rounding.",,,,,,,,,,,,,,,,,,,,,,,,,
