Table A-241:  Annual Change in Soil Organic Carbon Stocks (95% Confidence Interval) for the Total Cropland Land Base Estimated with the Tier 2 Analysis using U.S. Factor Values (MMT CO2 Eq./yr),,,,,,,,,,,,
,,,,,,,,,,,,
Total Croplands:,Cropland Remaining Cropland,,Grassland Converted to Cropland,,Forest Converted to Cropland,,Other Land Converted to Cropland,,Settlements Converted to Cropland,,Wetlands Converted to Cropland,
1993,17.7,39.55 to 3.13,1.86,4.82 to 0.09,0.04,0.16 to 0.09,0,0.23 to 0.03,0.01,0.07 to 0.74,0.39,1.18 to 5.82
1994,17.68,39.57 to 3.37,2.03,5.16 to 0.09,0.04,0.16 to 0.09,0,0.23 to 0.05,0.01,0.10 to 0.87,0.5,1.34 to 5.74
1995,17.68,39.81 to 3.71,2.2,5.71 to 0.09,0.04,0.16 to 0.09,0,0.23 to 0.04,0.01,0.09 to 0.90,0.53,1.38 to 5.59
1996,17.57,39.49 to 3.74,2.27,5.69 to 0.09,0.04,0.16 to 0.09,0,0.23 to 0.05,0.01,0.10 to 0.91,0.54,1.39 to 5.53
1997,17.47,39.47 to 3.78,2.29,5.73 to 0.08,0.04,0.15 to 0.09,0,0.23 to 0.04,0.01,0.09 to 0.91,0.54,1.39 to 5.40
1998,17.67,39.35 to 4.28,1.68,8.56 to 0.08,0.03,0.14 to 0.06,0,0.20 to 0.05,0.01,0.11 to 0.97,0.5,1.57 to 5.30
1999,17.18,38.38 to 4.40,1.78,8.72 to 0.07,0.03,0.13 to 0.06,0,0.20 to 0.05,0.01,0.11 to 0.94,0.47,1.53 to 5.18
2000,17.13,38.39 to 4.07,1.66,8.27 to 0.07,0.02,0.12 to 0.06,0,0.20 to 0.05,0.01,0.11 to 0.77,0.42,1.22 to 5.15
2001,17.6,39.65 to 5.45,1.71,12.90 to 0.06,0.02,0.12 to 0.06,0,0.20 to 0.05,0.01,0.11 to 0.80,0.45,1.24 to 4.72
2002,17.84,39.86 to 5.29,1.62,12.67 to 0.05,0.01,0.10 to 0.06,0,0.20 to 0.06,0.01,0.12 to 0.70,0.37,1.12 to 4.64
2003,18.02,40.19 to 5.14,1.53,12.37 to 0.04,0.01,0.09 to 0.06,0,0.20 to 0.06,0.01,0.11 to 0.62,0.34,0.97 to 4.55
2004,17.78,43.90 to 4.22,1.3,10.74 to 0.02,0,0.05 to 0.0,0,0.0 to 0.05,0.01,0.09 to 0.51,0.23,0.88 to 4.49
2005,17.8,43.72 to 4.18,1.29,10.66 to 0.02,0,0.05 to 0.0,0,0.0 to 0.07,0.02,0.14 to 0.51,0.23,0.87 to 4.46
2006,17.66,43.26 to 4.16,1.24,10.72 to 0.02,0,0.05 to 0.0,0,0.0 to 0.07,0.02,0.14 to 0.51,0.23,0.88 to 4.43
2007,17.62,40.81 to 4.03,1.16,10.57 to 0.02,0,0.05 to 0.0,0,0.0 to 0.07,0.02,0.14 to 0.51,0.23,0.87 to 4.43
2008,17.42,40.10 to 3.88,1.06,10.37 to 0.02,0,0.05 to 0.0,0,0.0 to 0.06,0.01,0.12 to 0.46,0.23,0.75 to 4.44
2009,17.69,41.11 to 3.68,0.87,10.06 to 0.02,0,0.05 to 0.0,0,0.0 to 0.06,0.01,0.13 to 0.43,0.21,0.71 to 4.42
2010,17.72,40.96 to 3.81,0.87,10.25 to 0.02,0,0.05 to 0.0,0,0.0 to 0.07,0.02,0.13 to 0.43,0.21,0.71 to 4.38
2011,17.74,41.22 to 3.81,0.88,10.37 to 0.02,0,0.05 to 0.0,0,0.0 to 0.08,0.02,0.15 to 0.43,0.21,0.71 to 4.36
2012,17.69,40.91 to 3.78,0.88,10.20 to 0.02,0,0.05 to 0.0,0,0.0 to 0.08,0.02,0.15 to 0.43,0.21,0.71 to 4.33
2013,17.77,40.93 to 3.81,0.89,10.27 to 0.02,0,0.05 to 0.0,0,0.0 to 0.08,0.02,0.15 to 0.43,0.21,0.71 to 4.33
2014,17.79,40.98 to 3.82,0.86,10.25 to 0.02,0,0.05 to 0.0,0,0.0 to 0.08,0.02,0.15 to 0.43,0.21,0.71 to 4.33
Note: Estimates after 2010 are based on NRI data from 2010 and therefore do not fully reflect changes occurring in the latter part of the time series.,,,,,,,,,,,,
