Table A-127:  2014 CH4 Emissions from Petroleum Production Field Operations  ,,,,,,
,2014 EPA Inventory Values,,,,,
Well Drilling,NE,scfd of CH4/oil well drilled,"17,774","No. of oil wells drilledc,2",NE,NE
Battery Pumps,0.24,scfd of CH4/pumpm,"269,480","No. of battery pumpsg,e,1",0.024,0.5
Combustion Emissions,,,,,6.196,119.2
Gas Engines,0.24,scf CH4/HP-hrh,"18,694","MMHP-hrc,g,i,1",4.487,86.3
Heaters,0.52,scf CH4/bbln,"3,179","MMbbl/yrc,2",1.657,31.9
Well Drilling ,"2,453",scf CH4/well drilledm,"17,774","Oil wells drilledc,4",0.044,0.8
Flares,20,scf CH4/Mcf flaredj,"452,651","Mcf flared/yr b,c,d,1,4",0.009,0.2
Process Upset Emissions,,,,,0.157,3
Pressure Relief Valves,35,scf/yr/PR valveh,"265,554","No. of PR valvesc,e,1",0.009,0.2
Well Blowouts Onshore,2.5,MMscf/blowoutf,59,"No. of blowouts/yrc,e,1",0.148,2.8
Voluntary Reductions ,,,,,-1.605,-30.9
Total Potential Emissions ,,,,,141.704,"2,725.10"
Total Net Emissions  ,,,,,140.1,"2,694.20"
"""-"" Zero Emissions",,,,,,
"* Emissions are not actually 0, but too small to show at this level of precision.",,,,,,
a TankCALC,,,,,,
b EPA / ICF International (1999),,,,,,
c Energy Information Administration (EIA) Monthly Energy Review,,,,,,
d Interstate Oil & Gas Compact Commission (IOGCC) Marginal Wells Report,,,,,,
e Consensus of Industrial Review Panel,,,,,,
f Expert Judgment,,,,,,
g EIA Annual Energy Review,,,,,,
h Gas Research Institute (GRI) / EPA (1996),,,,,,
i Radian (1999),,,,,,
j Canadian Association of Petroleum Producers (CAPP) (1992),,,,,,
k Adapted from the Minerals Management Service (MMS) Gulfwide Offshore Activities Data System (GOADS) by ICF (2005),,,,,,
l Bureau of Ocean Energy Management (BOEM),,,,,,
m American Petroleum Institute (API) (1996),,,,,,
"n EPA, AP 42 Compilation of Air Pollutant Emission Factors",,,,,,
o Oil and Gas Journal (OGJ) Petroleum Economics Issue,,,,,,
q BOEM 2011 Gulf-wide Emissions Inventory Study (2014) ,,,,,,
r GHGRP data,,,,,,
s DrillingInfo data from analysis supporting the NSPS OOOOa proposal,,,,,,
t  DrillingInfo data,,,,,,
