Table A-244:   Annual Change in Soil Organic Carbon Stocks (95% Confidence Interval) for the Total Grassland Land Base Estimated with the Tier 2 Analysis using U.S. Factor Values (MMT CO2 Eq./yr),,,,,,,,,,,,,
,,,,,,,,,,,,,
Total Grasslands:,Grassland Remaining Grassland,,Cropland Converted to Grassland,,Forest Converted to Grassland,,Other Land Converted to Grassland,,Settlements Converted to Grassland,,Wetlands Converted to Grassland,,
1991,3.39,9.47 to 0.53,0.23,.97 to 0.01,0,0.03 to 0.03,0.01,0.06 to 0.0,0,0.0 to 0.08,0.01,0.20 to 0.0,
1992,3.31,9.25 to 0.53,0.23,.97 to 0.01,0,0.03 to 0.02,0,0.05 to 0.0,0,0.0 to 0.09,0.01,0.22 to 0.0,
1993,3.29,9.19 to 0.64,0.29,1.15 to 0.02,0.01,0.04 to 0.02,0,0.06 to 0.01,0,0.02 to 0.15,0.05,0.30 to 0.0,
1994,3.25,9.07 to 0.73,0.32,1.32 to 0.02,0.01,0.04 to 0.02,0,0.05 to 0.01,0,0.02 to 0.18,0.07,0.32 to 0.0,
1995,3.15,8.84 to 0.74,0.33,1.34 to 0.02,0.01,0.04 to 0.02,0,0.05 to 0.01,0,0.02 to 0.18,0.07,0.33 to 0.0,
1996,3.14,8.74 to 0.72,0.32,1.29 to 0.02,0.01,0.03 to 0.02,0,0.05 to 0.01,0,0.02 to 0.18,0.08,0.33 to 0.0,
1997,3.06,8.53 to 0.70,0.31,1.27 to 0.02,0.01,0.03 to 0.01,0,0.04 to 0.01,0,0.02 to 0.18,0.08,0.34 to 0.0,
1998,2.82,8.61 to 0.82,0.38,1.46 to 0.02,0,0.06 to 0.01,0,0.04 to 0.01,0,0.03 to 0.19,0.1,0.31 to 0.0,
1999,2.74,8.44 to 0.76,0.35,1.35 to 0.02,0,0.05 to 0.01,0,0.04 to 0.01,0,0.03 to 0.19,0.1,0.31 to 0.0,
2000,2.72,8.43 to 0.82,0.39,1.44 to 0.02,0,0.06 to 0.01,0,0.04 to 0.01,0,0.03 to 0.19,0.1,0.31 to 0.0,
2001,2.54,7.63 to 0.89,0.43,1.57 to 0.02,0,0.06 to 0.01,0,0.04 to 0.01,0,0.03 to 0.19,0.1,0.31 to 0.0,
2002,2.49,7.50 to 0.98,0.46,1.74 to 0.02,0,0.06 to 0.01,0,0.05 to 0.01,0,0.03 to 0.17,0.08,0.29 to 0.0,
2003,2.43,7.35 to 0.91,0.42,1.62 to 0.02,0,0.06 to 0.01,0,0.04 to 0.01,0,0.03 to 0.15,0.08,0.24 to 0.0,
2004,2.31,7.38 to 1.01,0.41,1.89 to 0.02,0,0.06 to 0.0,0,0.0 to 0.01,0,0.03 to 0.16,0.09,0.27 to 0.0,
2005,2.3,7.38 to 1.02,0.41,1.91 to 0.02,0,0.06 to 0.0,0,0.0 to 0.01,0,0.03 to 0.19,0.1,0.31 to 0.0,
2006,2.28,7.37 to 0.99,0.39,1.85 to 0.02,0,0.06 to 0.0,0,0.0 to 0.01,0,0.03 to 0.22,0.11,0.38 to 0.0,
2007,2.26,7.34 to 0.97,0.38,1.82 to 0.01,0,0.05 to 0.0,0,0.0 to 0.01,0,0.03 to 0.25,0.13,0.43 to 0.0,
2008,2.27,7.35 to 0.95,0.37,1.81 to 0.02,0,0.05 to 0.01,0,0.03 to 0.01,0,0.03 to 0.26,0.13,0.44 to 0.0,
2009,2.28,7.35 to 1.18,0.43,2.33 to 0.0,0,0.01 to 0.01,0,0.03 to 0.01,0,0.03 to 0.30,0.15,0.52 to 0.0,
2010,2.25,7.25 to 1.14,0.42,2.25 to 0.0,0,0.01 to 0.01,0,0.03 to 0.01,0,0.03 to 0.30,0.15,0.52 to 0.0,
2011,2.23,7.20 to 1.16,0.43,2.29 to 0.0,0,0.01 to 0.01,0,0.03 to 0.01,0,0.03 to 0.30,0.15,0.52 to 0.0,
2012,2.23,7.19 to 1.15,0.43,2.24 to 0.0,0,0.01 to 0.01,0,0.03 to 0.01,0,0.03 to 0.30,0.15,0.52 to 0.0,
2013,2.23,7.16 to 1.16,0.44,2.27 to 0.0,0,0.01 to 0.01,0,0.03 to 0.01,0,0.03 to 0.30,0.15,0.52 to 0.0,
2014,2.23,7.18 to 1.16,0.42,2.27 to 0.0,0,.01 to 0.01,0,0.03 to 0.01,0,0.03 to 0.30,0.15,0.52 to 0.0,
Note: Estimates after 2010 are based on NRI data from 2010 and therefore do not fully reflect changes occurring in the latter part of the time series.,,,,,,,,,,,,,
