"Table A-148:  Potential CH4 Emission Estimates from the Natural Gas Distribution Stage, and Reductions from the Natural Gas STAR Program, and Regulations (kt)",,,,,,,,,,,,,,,,,,,,,,,,,
Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
    M&R >300,140.6,141.8,139.6,139.4,142.6,131.9,123.9,119.1,116.7,105.5,98.9,93.5,88.2,78.6,72.3,64.9,57.9,31.6,26.7,20.2,14.4,9.4,9.4,10.1,8.5
    M&R 100-300,272.8,275.2,270.9,270.4,276.4,255.4,239.9,230.3,225.6,203.6,190.7,180.1,169.6,150.9,138.4,123.9,110.1,59.7,50.1,37.4,25.9,15.9,15.9,17.2,14.4
    M&R <100,6.6,6.6,6.5,6.9,7.4,7.2,7.2,7.4,7.7,7.5,7.6,7.8,8.1,8,8.2,8.3,8.6,5.6,5.8,5.6,5.6,6.2,6.2,6.7,5.6
    Reg >300,138.4,139.6,137.5,137,139.7,128.9,120.7,115.6,112.9,101.6,94.8,89,83.4,73.6,66.9,59.3,51.9,27.5,22.4,15.8,9.8,4.2,4.2,4.5,3.8
    R-Vault >300,0.7,0.7,0.6,0.7,0.7,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1
    Reg 100-300,104.7,105.7,104,103.6,105.6,97.3,91.1,87.2,85,76.4,71.2,66.7,62.4,54.9,49.8,43.9,38.2,20.1,16.1,11.1,6.5,2.1,2.1,2.2,1.9
    R-Vault 100-300,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2
    Reg 40-100,8.1,8.1,8,8.4,9,8.8,8.7,8.9,9.3,9,9.1,9.3,9.6,9.4,9.6,9.8,10,6.5,6.7,6.5,6.5,7.1,7.1,7.7,6.4
    R-Vault 40-100,0.6,0.6,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.7,1.8,1.9,2,2.2,1.5,1.6,1.6,1.7,1.4,1.5,1.3,1
    Reg <40,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Customer Meters,, , , , , , , , , , , , , , ,, , , ,,,,,,
    Residential,58.4,59.8,60.6,61.2,62.3,63.5,64.7,65.8,67.1,68.3,69.5,70.7,71.8,72.7,73.5,75,75.6,76.6,76.9,77.2,77.4,77.9,78.4,78.9,79.4
    Commercial/Industry,43.4,44.5,45,45.5,46.1,47.2,48,48.6,51.3,51,50.9,50.7,51.3,52.2,52.1,52.6,53.2,53.6,55.2,53.8,53.5,53.6,54,54.2,54.6
Vented,, , , , , , , , , , , , , , ,, , , ,,,,,,
Routine Maintenance,, , , , , , , , , , , , , , ,, , , ,,,,,,
    Pressure Relief Valve Releases,0.9,0.9,0.9,0.9,1,1,0.9,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
    Pipeline Blowdown,3,3.1,3,3.2,3.4,3.3,3.3,3.4,3.6,3.5,3.5,3.6,3.7,3.7,3.8,3.9,4,4,4.1,4.1,4.1,4.2,4.2,4.2,4.3
Upsets,, , , , , , , , , , , , , , ,, , , ,,,,,,
    Mishaps (Dig-ins),47.4,47.8,47,49.4,53.3,52.1,51.9,53.1,55.7,54,54.8,56.3,58.2,57.3,59,60.1,61.9,62,63.5,63.9,64.4,64.9,65.5,65.8,66.4
Regulatory Reductions (kt),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Voluntary Reductions (kt),-,-,-,-20.5,-25.2,-19.7,-23.9,-30.3,-26,-32.9,-29.9,-36.9,-155.5,-123.2,-110.5,-48.3,-62.7,-56.3,-50.3,-63.9,-54.5,-58,-45.1,-40.5,-40.8
Total Reductions (kt),-,-,-,-20.5,-25.2,-19.7,-23.9,-30.3,-26,-32.9,-29.9,-36.9,-155.5,-123.2,-110.5,-48.3,-62.7,-56.3,-50.3,-63.9,-54.5,-58,-45.1,-40.5,-40.8
Total Potential Emissions (kt),"1,740.70",1714.8,1670.8,1652,1665,1536.4,1448.4,1406.2,1356.5,1275.7,1218.8,1169,1110.7,1023.5,981.8,931.9,881.1,726.8,681.7,620.2,554.1,506.5,501.9,498.5,484.9
Total Net Emissions (kt),"1,740.70",1714.8,1670.8,1631.5,1639.8,1516.7,1424.5,1375.9,1330.6,1242.8,1188.9,1132.1,955.2,900.2,871.2,883.6,818.3,670.5,631.4,556.3,499.6,448.5,456.7,458,444.1
*The values in this table are net emissions for these sources.    ,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
