Table A-134:  2014 Data and Calculated CH4 Potential Emissions (Mg) for the Natural Gas Production Stage,,,,,
,2014 EPA Inventory Values,,,,
Kimray Pumps,"5,012,753","MMscf/yrb,2","977.5-1,156.6",scf/MMscfb,"100,857.20"
Dehydrator Vents,"5,625,985","MMscf/yrb,2",271.58-321.34,scf/MMscfb,"31,448.30"
Condensate Tank Vents,,,,,
Condensate Tanks without Control Devices,139,"MMbbl/yrk,1",21.87-302.75,"scf/bbll,","253,092.60"
Condensate Tanks with Control Devices*,139,"MMbbl/yrk,1",4.37-60.55,scf/bbll,"50,618.50"
Compressor Exhaust Vented,,,,,
Gas Engines,"51,648","MMHPhrb,2",0.237-0.280,scf/HPhrb,"249,756.30"
Well Clean Ups,,,,,
Liquids Unloading with Plunger Lifts*,"22,477","venting wellsa,m,2","2,856-1,137,406","scfy/venting wellm,","112,568.80"
Liquids Unloading without Plunger Lifts*,"37,912","venting wellsa,m,2","77,891-2,002,960","scfy/venting wellm,","148,075.10"
Blowdowns,,,,,
Vessel Blowdowns,"422,542","vesselsb,2",76.86-90.94,scfy/vesselb,668.5
Pipeline Blowdowns,"431,051","miles (gathering)b,2",304.49-360.28,scfy/mileb,"2,702.90"
Compressor Blowdowns,"48,518","compressorsb,2","3,719-4,400",scfy/compressorb,"3,713.80"
Compressor Starts,"48,518","compressorsb,2","8,320-9,844",scfy/compressorb,"8,308.40"
Upsets, , ,,,
Pressure Relief Valves,"1,015,507","PRVb,2",33.50-39.64,scfy/PRVb,700.3
Mishaps,"107,763","milesf,2",659.24-780.03,scf/mileb,"1,463.00"
Produced Water from Coal Bed Methane Wells,,,,,
Black Warrior,"5,480",wellso,0.0023,"kt/wello,1","12,790.50"
Powder River,"20,596,530,150",gal produced watern,2.30E-09,"kt/gal water drainagen,1","47,627.30"
Offshore Platforms,,,,,
Shallow Water Gas Platforms (Gulf of Mexico and Pacific),"1,973","shallow water gas platformsp,3","8,899",scfd/platformq,"123,460.00"
Deep Water Gas Platforms (Gulf of Mexico and Pacific),41,"deep water gas platformsp,3","93,836",scfd/platformq,"27,105.30"
Regulatory Reductions (kt),,,,,-91.4
Voluntary Reductions (kt),,,,,-483.2
Total Reductions (kt),,,,,-574.6
Total Potential Emissions (kt),,,,,"4,933.80"
Total Net Emissions (kt),,,,,"4,359.20"
*The values in this table are net emissions for these sources.,,,,,
a DI Desktop (2015),,,,,
"b EPA/GRI (1996), Methane Emissions from the Natural Gas Industry",,,,,
c 2014 GHGRP – Subpart W data,,,,,
d EPA (2016a),,,,,
e EPA (2016b),,,,,
"f ICF (1996), Estimation of Activity Factors for the Natural Gas Exploration and Production Industry in the U.S.",,,,,
g API/ICF Memorandum (1997),,,,,
h 2011-2014 GHGRP – Subpart W data,,,,,
i EIA Monthly Energy Review,,,,,
"j Radian (1992), Global Emissions of Methane Sources",,,,,
"k EIA U.S. Crude Oil, Natural Gas, and Natural Gas Liquids Reserves Annual Report",,,,,
l EP&P/API Tank Calc runs,,,,,
"m API/ANGA (2012), Characterizing Pivotal Sources of Methane Emission from Natural Gas Production – Summary and Analysis of API and ANGA Survey ",,,,,
n Wyoming Oil and Gas Conservation Commission (2015),,,,,
o Alabama State Oil and Gas Board (2015) ,,,,,
"p Bureau of Ocean Energy Management, Regulation and Enforcement (2011)",,,,,
"q EPA (2015), Inventory of U.S. Greenhouse Gas Emissions and Sinks 1990-2013: Revision to Offshore Platform Emissions",,,,,
bb Totals may not sum due to independent rounding.,,,,,
"cc Emissions from oil wells that produce associated gas are estimated in the Petroleum Systems model. In the Natural Gas Systems model, the oil wells counts are used as a driver only.",,,,,
"dd NA = not applicable (i.e., this data is not applicable for the Natural Gas Systems model).",,,,,
1 Activity data for 2014 available from source.,,,,,
2 Ratios relating other factors for which activity data are available.,,,,,
3 2013 activity data are used to determine some or all of the 2014 activity.,,,,,
*The values in this table are net emissions for these sources.  ,,,,,
