"Table A-252: Annual Soil C Stock Change in Cropland Remaining Cropland (CRC), Land Converted to Cropland (LCC), Grassland Remaining Grassland (GRG), and Land Converted to Grassland  (LCG), in U.S. Agricultural Soils (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
GCC,3.2,3.2,3.2,3.1,3.4,3.7,3.7,3.8,4.3,4.4,4.1,5.4,5.3,5.1,4.2,4.2,4.2,4,3.9,3.7,3.8,3.8,3.8,3.8,3.8
FCC,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
OCC,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
SCC,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
WCC,0.6,0.6,0.6,0.7,0.9,0.9,0.9,0.9,1,0.9,0.8,0.8,0.7,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4
GRG,6.1,6,5.9,5.8,5.7,5.6,5.5,5.4,5.3,5.2,5.2,4.7,4.6,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.3
CCG,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,1,0.9,1,1,1,1,1,1.2,1.1,1.2,1.2,1.2,1.2
FCG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCG,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Additional changes in net emissions from mineral soils based on application of sewage sludge to agricultural land (Step 4),,,,,,,,,,,,,,,,,,,,,,,,,
GRG,-0.6,-0.6,-0.7,-0.7,-0.7,-0.8,-0.8,-0.9,-0.9,-0.9,-1,-1,-1,-1,-1.1,-1.1,-1.2,-1.2,-1.2,-1.3,-1.3,-1.3,-1.4,-1.4,-1.4
Additional changes in net emissions from mineral soils based on additional enrollment of CRP land (Step 4) ,,,,,,,,,,,,,,,,,,,,,,,,,
CRC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,       -  ,-,0.1,1.1,2.8,3.7
Total Stock Changes by Land Use/Land-Use Change Category (Step 5),,,,,,,,,,,,,,,,,,,,,,,,,
CRC,-34.3,-36.2,-38.2,-17,-28.3,-22.3,-29.7,-27.9,-13.7,-26.8,-31.8,-30.6,-21.6,-11.5,-14.8,-14.1,-13.8,-14.7,-6.5,1.5,1.8,-12.5,-11.2,-9.3,-8.4
GCC,17.4,17.3,18.1,16.2,11.3,18.9,16.7,18.4,13.5,14.5,13.9,15,15.1,13.9,12.3,13.3,13.5,11.3,12.1,10.7,11.8,9.6,9.6,9.7,9.7
FCC,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
OCC,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
SCC,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
WCC,0.7,0.7,0.7,0.9,1,1.1,1.1,1.1,1.2,1.1,1,1,0.9,0.8,0.7,0.6,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6
GRG,-12.9,-3.7,-5.1,-5,-20.9,-4.2,-12.8,-6.3,-10.3,-0.9,-16.6,-6.2,-5.7,-4.2,-5.2,-3.3,-12.5,3,-6.8,-8.9,-7.3,3.1,3.6,3.8,3.8
CCG,-6.4,-7.3,-7.1,-7.8,-8.1,-8.1,-8.3,-8.8,-9.2,-9,-9.4,-9.7,-9.8,-8.8,-9.7,-8.7,-9,-8.6,-8.8,-8.3,-8,-7.4,-7.4,-7.4,-7.4
FCG,-0.5,-0.5,-0.4,-0.4,-0.4,-0.5,-0.4,-0.4,-1.1,-1.1,-1.1,-1,-1,-0.9,-0.9,-1,-0.9,-0.9,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8
OCG,-0.6,-0.6,-0.7,-0.8,-0.9,-1,-0.9,-1,-1.1,-1.1,-1.2,-1.2,-1.1,-1.1,-1.1,-1.1,-1,-0.9,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8
SCG,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
WCG,-0.4,-0.5,-0.5,-0.5,-0.5,-0.4,-0.4,-0.4,-0.4,-0.4,-0.5,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.2,-0.1,0,0.1,0.1,0.1,0.1,0.1
Total *,-36.4,-30.2,-32.7,-13.9,-46.3,-16,-34.2,-25,-20.8,-23.2,-45.1,-32.9,-23.5,-12.1,-19,-14.3,-23.1,-10.1,-10.8,-5.9,-2.5,-7.9,-6.2,-4,-3.1
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
