Table A-115:  Total U.S. Greenhouse Gas Emissions from Transportation and Mobile Sources (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
Mode / Vehicle Type / Fuel Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Percent Change 
Construction/ Mining Equipmentm,42.4,43.6,44.9,46.1,47.9,49.4,50.9,52.4,53.3,55.1,56.6,61,62.7,64.5,66.4,67.4,68.9,69.4,70.9,72.2,74.6,75.7,77.4,82.9,81.1,91%
Gasoline,4.4,4.1,4,3.7,3.9,4,4,4.1,3.5,2.9,3,5.8,6,6.3,6.6,6.2,6.1,5.1,5.1,4.9,5.7,5.3,5.5,9.4,6.1,39%
Diesel,38,39.5,41,42.4,43.9,45.4,46.9,48.3,49.8,52.1,53.6,55.1,56.7,58.2,59.7,61.3,62.8,64.3,65.8,67.4,68.9,70.4,72,73.5,75,97%
Other Equipmentn,55,56.4,57.8,57.6,58.9,60.4,61.1,61.4,62.3,61.8,63.2,70.7,72.5,74.3,76.4,76.6,77.8,76.6,77.3,78,80.9,80.6,80.1,81,82.5,50%
Gasoline,40.3,41.1,41.9,41,41.7,42.6,42.7,42.4,42.7,41.2,42,48.8,49.9,51.1,52.4,51.9,52.5,50.6,50.6,50.6,52.9,51.9,50.7,50.9,51.6,28%
Diesel,14.7,15.3,16,16.6,17.2,17.8,18.4,19,19.6,20.6,21.2,21.9,22.6,23.3,23.9,24.6,25.3,26,26.7,27.4,28.1,28.7,29.4,30.1,30.8,109%
Transportation and Non-Transportation Mobile Total,"1,683.10","1,640.60","1,698.20","1,741.90","1,800.30","1,845.20","1,901.60","1,930.80","1,976.00","2,034.10","2,086.40","2,085.00","2,129.70","2,124.20","2,176.00","2,196.40","2,195.00","2,194.80","2,096.70","2,021.50","2,036.20","2,010.80","1,993.90","2,008.90","2,029.70",21%
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,
"NA - Not Applicable, as there were no HFC emissions allocated to the transport sector in 1990, and thus a growth rate cannot be calculated.",,,,,,,,,,,,,,,,,,,,,,,,,,
a Not including emissions from international bunker fuels. ,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Gasoline and diesel highway vehicle fuel consumption estimates are based on data from FHWA Highway Statistics Table VM-1 and MF-27 (FHWA 1996 through 2015). These fuel consumption estimates are combined with estimates of fuel shares by vehicle type from DOE’s TEDB Annex Tables A.1 through A.6 (DOE 1993 through 2015).  TEDB data for 2014 has not been published yet, therefore 2013 data is as a proxy.",,,,,,,,,,,,,,,,,,,,,,,,,,
c  Updates to the distillate fuel oil heat content data from EIA for years 1993 through present resulted in changes to the time series for energy consumption and emissions compared to the previous Inventory.,,,,,,,,,,,,,,,,,,,,,,,,,,
"d In 2015, EIA changed its methods for estimating AFV fuel consumption. These methodological changes included how vehicle counts are estimated, moving from estimates based on modeling to one that is based on survey data.  EIA now publishes data about fuel use and number of vehicles for only four types of AFV fleets: federal government, state government, transit agencies, and fuel providers. These changes were first incorporated in this year’s inventory and apply to the 1990-2014 time period. This resulted in large reductions in AFV VMT, thus leading to a shift in VMT to conventional on-road vehicle classes.",,,,,,,,,,,,,,,,,,,,,,,,,,
"e Updated Commodity Flow Survey data was used to allocate refrigerated transport emissions to the trucking, rail and marine sectors in 2014. ",,,,,,,,,,,,,,,,,,,,,,,,,,
f Updates to the jet fuel heat content used in the mobile N2O emissions estimates for years 1990 through present resulted in small changes to the time series emissions compared to the previous Inventory.,,,,,,,,,,,,,,,,,,,,,,,,,,
"g Fluctuations in emission estimates reflect data collection problems. Note that CH4 and N2O from U.S. Territories are included in this value, but not CO2 emissions from U.S. Territories, which are estimated separately in the section on U.S. Territories.",,,,,,,,,,,,,,,,,,,,,,,,,,
h Domestic residual fuel for ships and boats is estimated by taking the total amount of residual fuel and subtracting out an estimate of international bunker fuel use.,,,,,,,,,,,,,,,,,,,,,,,,,,
"i Class II and Class II diesel consumption data for 2014 is not available yet, therefore 2013 data is used as a proxy.",,,,,,,,,,,,,,,,,,,,,,,,,,
"j Other emissions from electricity generation are a result of waste incineration (as the majority of municipal solid waste is combusted in “trash-to-steam” electricity generation plants), electrical transmission and distribution, and a portion of Other Process Uses of Carbonates (from pollution control equipment installed in electricity generation plants).",,,,,,,,,,,,,,,,,,,,,,,,,,
k Includes only CO2 from natural gas used to power natural gas pipelines; does not include emissions from electricity use or non-CO2 gases.,,,,,,,,,,,,,,,,,,,,,,,,,,
"l Includes equipment, such as tractors and combines, as well as fuel consumption from trucks that are used off-road in agriculture.",,,,,,,,,,,,,,,,,,,,,,,,,,
"m Includes equipment, such as cranes, dumpers, and excavators, as well as fuel consumption from trucks that are used off-road in construction.",,,,,,,,,,,,,,,,,,,,,,,,,,
"n “Other"" includes snowmobiles and other recreational equipment, logging equipment, lawn and garden equipment, railroad equipment, airport equipment, commercial equipment, and industrial equipment, as well as fuel consumption from trucks that are used off-road for commercial/industrial purposes.",,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: Increases to CH4 and N2O emissions from mobile combustion relative to previous Inventories are largely due to updates made to the Motor Vehicle Emissions Simulator (MOVES2014a) model that is used to estimate on-road gasoline vehicle distribution and mileage across the time series. See Section 3.1 “CH4 and N2O from Mobile Combustion” for more detail. In 2015, EPA incorporated the NONROAD2008 model into MOVES2014a. This year’s inventory uses the NONROAD component of MOVES2014a for years 1999 through 2014.  This update resulted in small changes (<2%) to the 1999-2013 time series for NONROAD fuel consumption due to differences in the gasoline and diesel default fuel densities used within the model iterations.     ",,,,,,,,,,,,,,,,,,,,,,,,,,
