Table A-169:  Refrigeration and Air-Conditioning Market Transition Assumptions,,,,,,,,,,,,,
Initial Market Segment,Primary Substitute,,,,Secondary Substitute,,,,Tertiary Substitute,,,,Growth Rate
CFC-12,HCFC-22,1991,1994,10%,HFC-134a,1995,2010,15%,None,,,,3.10%
,,,,,R-404A,1995,2010,50%,None,,,,
,,,,,R-410A,1999,2010,20%,None,,,,
,,,,,R-507,1995,2010,15%,None,,,,
,HCFC-123,1992,1994,35%,Unknown,,,,,,,,
,HFC-134a,1992,1994,50%,None,,,,,,,,
,R-401A,1995,1996,5%,HFC-134a,1997,2000,100%,None,,,,
HCFC-22,HFC-134a,1995,2009,2%,None,,,,,,,,3.00%
,R-404A,1995,2009,5%,None,,,,,,,,
,R-410A,1999,2009,2%,None,,,,,,,,
,R-507,1995,2009,2%,None,,,,,,,,
,HFC-134a,2009,2010,14%,None,,,,,,,,
,R-404A,2009,2010,45%,None,,,,,,,,
,R-410A,2009,2010,18%,None,,,,,,,,
,R-507,2009,2010,14%,None,,,,,,,,
Mobile Air Conditioners (Passenger Cars),,,,,,,,,,,,,
CFC-12,HFC-134a,1992,1994,100%,HFO-1234yf,2012,2015,1%,None,,,,0.30%
,,,,,HFO-1234yf,2016,2021,99%,None,,,,
Mobile Air Conditioners (Light Duty Trucks),,,,,,,,,,,,,
CFC-12,HFC-134a,1993,1994,100%,HFO-1234yf,2012,2015,1%,None,,,,1.40%
,,,,,HFO-1234yf,2016,2021,99%,None,,,,
Mobile Air Conditioners (School and Tour Buses),,,,,,,,,,,,,
CFC-12,HCFC-22,1994,1995,0.50%,HFC-134a,2006,2007,100%,None,,,,0.30%
,HFC-134a,1194,1997,99.50%,None,,,,,,,,
Mobile Air Conditioners (Transit Buses),,,,,,,,,,,,,
HCFC-22,HFC-134a,1995,2009,100%,None,,,,,,,,0.30%
Mobile Air Conditioners (Trains),,,,,,,,,,,,,
HCFC-22,HFC-134a,2002,2009,50%,None,,,,,,,,0.30%
,R-407C,2002,2009,50%,None,,,,,,,,
Packaged Terminal Air Conditioners and Heat Pumps,,,,,,,,,,,,,
HCFC-22,R-410A,2006,2009,10%,None,,,,,,,,3.00%
,R-410A,2009,2010,90%,None,,,,,,,,
Positive Displacement Chillers,,,,,,,,,,,,,
HCFC-22,HFC-134a,2000,2009,9%,R-407C,2010,2020,60%,None,,,,2.50%
,,,,,R-410A,2010,2020,40%,None,,,,
,R-407C,2000,2009,1%,None,,,,,,,,
,HFC-134a,2009,2010,81%,R-407C,2010,2020,60%,None,,,,
,,,,,,,,,R-410A,2010,2020,40%,
,,,,,R-407C,2009,2010,9%,None,,,,
CFC-12,HCFC-22,1993,1993,100%,HFC-134a,2000,2009,9%,R-407C,2010,2020,60%,2.50%
,,,,,,,,,R-410A,2010,2020,40%,
,,,,,R-407C,2000,2009,1%,None,,,,
,,,,,HFC-134a,2009,2010,81%,R-407C,2010,2020,60%,
,,,,,,,,,R-410A,2010,2020,40%,
,,,,,R-407C,2009,2010,9%,None,,,,
Refrigerated Appliances,,,,,,,,,,,,,
CFC-12,HFC-134a,1994,1995,100%,None,,,,,,,,1.70%
Residential Unitary Air Conditioners,,,,,,,,,,,,,
HCFC-22,HCFC-22,2006,2006,70%,R-410A,2007,2010,29%,None,,,,1.30%
,,,,,R-410A,2010,2010,71%,None,,,,
,R-410A,2000,2005,5%,R-410A,2006,2006,100%,None,,,,
,R-410A,2000,2006,5%,None,,,,,,,,
,R-410A,2006,2006,20%,None,,,,,,,,
Retail Food (Large; Technology Transition),,,,,,,,,,,,,
DX1,DX,2001,2006,67.50%,DX,2006,2015,35%,None,,,,1.70%
,,,,,DR2,2000,2015,23%,None,,,,
,,,,,SLS3,2000,2015,15%,None,,,,
,DR,2001,2006,22.50%,None,,,,,,,,
,SLS,2001,2006,10%,None,,,,,,,,
Retail Food (Large; Refrigerant Transition) ,,,,,,,,,,,,,
CFC-12 ,R-404A,1995,2000,17.50%,R-404A,2000,2000,3.30%,None,,,,1.70%
R-5024,,,,,R-407A,2011,2015,63.30%,None,,,,
, R-507,1995,2000,7.50%,R-507,2001,2005,70%,R-404A,2006,2010,29%,
,,,,,,,,,R-407A,2006,2010,71%,
,,,,,R-407A,2006,2010,30%,None,,,,
,HCFC-22 ,1995,2000,75%,R-404A,2006,2010,13.30%,R-407A,2011,2015,100%,
,,,,,R-407A,2001,2005,1.30%,None,,,,
,,,,,R-404A,2001,2005,12%,None,,,,
,,,,,R-507,2001,2005,6.70%,R-407A,2011,2015,100%,
,,,,,R-404A,2006,2010,34%,R-407A,2011,2015,100%,
,,,,,R-404A,2006,2010,7.30%,None,,,,
,,,,,R-407A,2006,2010,25.30%,None,,,,
Retail Food (Large Condensing Units),,,,,,,,,,,,,
HCFC-22,R-402A,1995,2005,5%,R-404A,2006,2006,100%, None,,,,1.50%
,R-404A,1995,2005,25%,None,,,,,,,,
,R-507,1995,2005,10%,None,,,,,,,,
,R-404A,2008,2010,45%,None,,,,,,,,
,R-507,2008,2010,15%,None,,,,,,,,
Retail Food (Small Condensing Units),,,,,,,,,,,,,
HCFC-22,R-401A,1995,2005,6%,HFC-134a,2006,2006,100%,None,,,,1.60%
,R-402A,1995,2005,4%,HFC-134a,2006,2006,100%,None,,,,
,HFC-134a,1993,2005,30%,,,,,,,,,
,R-404A,1995,2005,30%,,,,,,,,,
,R-404A,2008,2010,30%,,,,,,,,,
Retail Food (Small),,,,,,,,,,,,,
CFC-12,HCFC-22,1990,1993,91%,HFC-134a,1993,1995,91%,CO2,2012,2015,1%,2.20%
,,,,,,,,,Non-ODP/GWP,2012,2015,3.70%,
,,,,,,,,,CO2,2016,2016,11%,
,,,,,,,,,Non-ODP/GWP,2016,2016,17.30%,
,,,,,HFC-134a,2000,2009,9%,,,,,
,R-404A,1990,1993,9%,Non-ODP/GWP,2016,2016,30%,,,,,
Retail Food (Vending Machines),,,,,,,,,,,,,
CFC-12,HFC-134a,1995,1998,90%,CO2,2012,2012,1%,None,,,,-0.03%
,,,,,CO2,2013,2017,39%,None,,,,
,,,,,Propane,2014,2014,1%,None,,,,
,,,,,Propane,2015,2015,49%,None,,,,
,,,,,R-450A,2019,2019,5%,None,,,,
,,,,,R-513A,2019,2019,5%,None,,,,
,R-404A,1995,1998,10%,R-450A,2019,2019,50%,None,,,,
,,,,,R-513A,2019,2019,50%,None,,,,
Transport Refrigeration (Road Transport),,,,,,,,,,,,,
CFC-12,HFC-134a,1993,1995,10%,None,,,,,,,,5.50%
,R-404A,1993,1995,60%,None,,,,,,,,
,HCFC-22,1993,1995,30%,R-410A,2000,2003,5%,CO2,2017,2021,5%,
,,,,,R-404A,2006,2010,95%,CO2,2017,2021,5%,
Transport Refrigeration (Intermodal Containers),,,,,,,,,,,,,
CFC-12,HFC-134a,1993,1993,60%,CO2,2017,2021,5%,None,,,,7.30%
,R-404A,1993,1993,5%,CO2,2017,2021,5%,None,,,,
,HCFC-22,1993,1993,35%,HFC-134a,2000,2010,10%,CO2,2017,2021,5%,
Transport Refrigeration (Merchant Fishing Transport),,,,,,,,,,,,,
HCFC-22,HFC-134a,1993,1995,10%,None,,,,,,,,5.70%
,R-507,1994,1995,10%,None,,,,,,,,
,R-404A,1993,1995,10%,None,,,,,,,,
,HCFC-22,1993,1995,70%,R-407C,2000,2005,3%,R-410A,2005,2007,100%,
,,,,,R-507,2006,2010,49%,None,,,,
,,,,,R-404,2006,2010,49%,None,,,,
Transport Refrigeration (Reefer Ships),,,,,,,,,,,,,
HCFC-22,HFC-134a,1993,1995,3.30%,None,,,,,,,,4.20%
,R-507,1994,1995,3.30%,None,,,,,,,,
,R-404A,1993,1995,3.30%,None,,,,,,,,
,HCFC-22,1993,1995,90%,HFC-134a,2006,2010,25%,None,,,,
,,,,,R-507,2006,2010,25%,None,,,,
,,,,,R-404A,2006,2010,25%,None,,,,
,,,,,R-407C,2006,2010,25%,None,,,,
Transport Refrigeration (Vintage Rail Transport),,,,,,,,,,,,,
CFC-12,HCFC-22,1993,1995,100%,HFC-134a,1996,2000,100%,None,,,,-100%
Transport Refrigeration (Modern Rail Transport),,,,,,,,,,,,,
HFC-134a,R-404A,1999,1999,50%,None,,,,,,,,0.30%
,HFC-134A,2005,2005,50%,None,,,,,,,,
Water-Source and Ground-Source Heat Pumps,,,,,,,,,,,,,
HCFC-22,R-407C,2000,2006,5%,None,,,,,,,,1.30%
,R-410A,2000,2006,5%,None,,,,,,,,
,HFC-134a,2000,2009,2%,None,,,,,,,,
,R-407C,2006,2009,2.50%,None,,,,,,,,
,R-410A,2006,2009,4.50%,None,,,,,,,,
,HFC-134a,2009,2010,18%,None,,,,,,,,
,R-407C,2009,2010,22.50%,None,,,,,,,,
,R-410A,2009,2010,40.50%,None,,,,,,,,
Window Units,,,,,,,,,,,,,
HCFC-22,R-410A,2008,2009,10%,None,,,,,,,,4.00%
,R-410A,2009,2010,90%,None,,,,,,,,
,,,,,,,,,,,,,
"1 DX refers to direct expansion systems where the compressors are mounted together in a rack and share suction and discharge refrigeration lines that run throughout the store, feeding refrigerant to the display cases in the sales area.",,,,,,,,,,,,,
"2 DR refers to distributed refrigeration systems that consist of multiple smaller units that are located close to the display cases that they serve such as on the roof above the cases, behind a nearby wall, or on top of or next to the case in the sales area.",,,,,,,,,,,,,
3 SLS refers to secondary loop systems wherein a secondary fluid such as glycol or carbon dioxide is cooled by the primary refrigerant in the machine room and then pumped throughout the store to remove heat from the display equipment.,,,,,,,,,,,,,
"4 The CFC-12 large retail food market for new systems transitioned to R-502 from 1998 to 1990, and subsequently transitioned to HCFC-22 from 1990 to 1993. These transitions are not shown in the table in order to provide the HFC transitions in greater detail.",,,,,,,,,,,,,
5 HCFC-22 for new equipment after 2010 is assumed to be reclaimed material.,,,,,,,,,,,,,
,,,,,,,,,,,,,
