Table A-137:  2014 Data and CH4 Emissions (Mg) for the Natural Gas Transmission Stage,,,,,
LNG Centrifugal Compressors,64,"compressorsf,g,3","30,573", scfd/compressorb ,"13,766.00"
LNG Compressor Exhaust, , , , , 
    LNG Engines,579,"MMHPhrf,g,3",0.24, scf/HPhrb ,"2,677.70"
    LNG Turbines,113,"MMHPhrf,g,3",0.01, scf/HPhrb,12.4
LNG Station venting,70," stationsf,g,3","4,359", Mscfy/stationb ,"5,898.60"
LNG Import Terminals , , , , , 
LNG Stations,8,"stationsf,g,3","21,507", scfd/stationb ,"1,270.00"
LNG Reciprocating Compressors,41,"compressorsf,g,3","21,116", scfd/compressorb ,"6,056.50"
LNG Centrifugal Compressors,7,"compressorsf,g,3","30,573", scfd/compressorb ,"1,547.50"
LNG Compressor Exhaust, , , , , 
    LNG Engines,303,"MMHPhrf,g,3",0.24, scf/HPhrb ,"1,401.70"
    LNG Turbines,60,"MMHPhrf,g,3",0.01, scf/HPhrb ,6.6
LNG Station venting,8," stationsf,g,3","4,359", Mscfy/stationb ,705.2
Regulatory Reductions (kt),,,,,-
Voluntary Reductions (kt),,,,,-335
Total Reductions (kt),,,,,-335
Total Potential Emissions (kt),,,,,"1,617.30"
Total Net Emissions (kt),,,,,"1,282.30"
"a Pipeline and Hazardous Materials Safety Administration (PHMSA), Office of Pipeline Safety (OPS) (2014)",,,,,
"b EPA/GRI (1996), Methane Emissions from the Natural Gas Industry",,,,,
c EPA (2016c),,,,,
d 2014 GHGRP – Subpart W data,,,,,
"e ICF (2008), Natural Gas Model Activity Factor Basis Change",,,,,
"f ICF (1996), Estimation of Activity Factors for the Natural Gas Exploration and Production Industry in the U.S.",,,,,
"g EIA (2004), U.S. LNG Markets and Uses",,,,,
1 Activity data for 2014 available from source.,,,,,
2 Ratios relating other factors for which activity data are available.,,,,,
3 2013 activity data are used to determine some or all of the 2014 activity (to be updated).,,,,,
aa Emission factors listed in this table are for potential emissions (unless otherwise indicated in a footnote). See detailed explanation of methodology above.,,,,,
bb Emission factors represent actual emissions and can be used to calculate emissions directly.,,,,,
*The values in this table are net emissions for these sources.  ,,,,,
,,,,,
